"Date","Start (ET)","Visitor/Neutral","Visitor/Neutral PTS","Home/Neutral","Home/Neutral PTS","Attendance","Notes"
"2014-12-01","19:00","San Antonio Spurs",109,"Philadelphia 76ers",103,12843,""
"2014-12-01","19:00","Miami Heat",86,"Washington Wizards",107,15150,""
"2014-12-01","21:00","Denver Nuggets",103,"Utah Jazz",101,16768,""
"2014-12-01","22:30","Minnesota Timberwolves",101,"Los Angeles Clippers",127,19060,""
"2014-12-02","19:00","Milwaukee Bucks",108,"Cleveland Cavaliers",111,20562,""
"2014-12-02","19:30","Boston Celtics",105,"Atlanta Hawks",109,12705,""
"2014-12-02","19:30","Los Angeles Lakers",106,"Detroit Pistons",96,14083,""
"2014-12-02","19:30","Brooklyn Nets",98,"New York Knicks",93,19812,""
"2014-12-02","20:00","Dallas Mavericks",132,"Chicago Bulls",129,22042,""
"2014-12-02","20:00","Oklahoma City Thunder",104,"New Orleans Pelicans",112,13903,""
"2014-12-02","21:00","Portland Trail Blazers",105,"Denver Nuggets",103,12822,""
"2014-12-02","21:00","Indiana Pacers",99,"Phoenix Suns",116,15059,""
"2014-12-02","22:00","Toronto Raptors",117,"Sacramento Kings",109,15522,""
"2014-12-02","22:30","Orlando Magic",97,"Golden State Warriors",98,19596,""
"2014-12-03","19:00","Chicago Bulls",102,"Charlotte Hornets",95,16887,""
"2014-12-03","19:00","Los Angeles Lakers",95,"Washington Wizards",111,18490,""
"2014-12-03","19:30","Detroit Pistons",102,"Boston Celtics",109,15870,""
"2014-12-03","19:30","San Antonio Spurs",93,"Brooklyn Nets",95,15989,""
"2014-12-03","19:30","Atlanta Hawks",112,"Miami Heat",102,19600,""
"2014-12-03","20:00","Memphis Grizzlies",96,"Houston Rockets",105,18151,""
"2014-12-03","20:00","Dallas Mavericks",107,"Milwaukee Bucks",105,13568,""
"2014-12-03","20:00","Philadelphia 76ers",85,"Minnesota Timberwolves",77,10463,""
"2014-12-03","21:00","Toronto Raptors",123,"Utah Jazz",104,16677,""
"2014-12-03","22:30","Orlando Magic",86,"Los Angeles Clippers",114,19060,""
"2014-12-04","20:00","Cleveland Cavaliers",90,"New York Knicks",87,19812,""
"2014-12-04","22:00","Indiana Pacers",82,"Portland Trail Blazers",88,19191,""
"2014-12-04","22:30","New Orleans Pelicans",85,"Golden State Warriors",112,19596,""
"2014-12-05","19:00","New York Knicks",102,"Charlotte Hornets",103,19102,""
"2014-12-05","19:00","Oklahoma City Thunder",103,"Philadelphia 76ers",91,15092,""
"2014-12-05","19:00","Denver Nuggets",89,"Washington Wizards",119,19451,""
"2014-12-05","19:30","Los Angeles Lakers",96,"Boston Celtics",113,18624,""
"2014-12-05","19:30","Atlanta Hawks",98,"Brooklyn Nets",75,16146,""
"2014-12-05","19:30","Cleveland Cavaliers",105,"Toronto Raptors",91,20077,""
"2014-12-05","20:00","San Antonio Spurs",107,"Memphis Grizzlies",101,18119,""
"2014-12-05","20:00","Houston Rockets",114,"Minnesota Timberwolves",112,12101,""
"2014-12-05","20:30","Phoenix Suns",118,"Dallas Mavericks",106,20010,""
"2014-12-05","20:30","Miami Heat",85,"Milwaukee Bucks",109,16325,""
"2014-12-05","21:00","Orlando Magic",98,"Utah Jazz",93,18997,""
"2014-12-05","22:00","Indiana Pacers",101,"Sacramento Kings",102,15512,""
"2014-12-06","19:30","Philadelphia 76ers",108,"Detroit Pistons",101,16514,""
