"Date","Start (ET)","Visitor/Neutral","Visitor/Neutral PTS","Home/Neutral","Home/Neutral PTS","Attendance","Notes"
"2008-12-01","19:00","Minnesota Timberwolves",90,"Charlotte Bobcats",100,9285,""
"2008-12-01","19:30","Orlando Magic",88,"Boston Celtics",107,18624,""
"2008-12-01","22:30","Miami Heat",130,"Golden State Warriors",129,18723,""
"2008-12-02","19:00","Los Angeles Lakers",117,"Indiana Pacers",118,16412,""
"2008-12-02","19:30","Washington Wizards",108,"New Jersey Nets",88,15062,""
"2008-12-02","19:30","Portland Trail Blazers",104,"New York Knicks",97,18664,""
"2008-12-02","20:30","Philadelphia 76ers",103,"Chicago Bulls",95,20485,""
"2008-12-02","20:30","Los Angeles Clippers",98,"Dallas Mavericks",100,19670,""
"2008-12-02","20:30","Detroit Pistons",89,"San Antonio Spurs",77,17582,""
"2008-12-02","21:00","Toronto Raptors",93,"Denver Nuggets",132,14243,""
"2008-12-02","22:00","Utah Jazz",99,"Sacramento Kings",94,10798,""
"2008-12-03","19:00","Memphis Grizzlies",95,"Atlanta Hawks",105,12088,""
"2008-12-03","19:00","Oklahoma City Thunder",97,"Charlotte Bobcats",103,11629,""
"2008-12-03","19:00","New York Knicks",82,"Cleveland Cavaliers",118,20562,""
"2008-12-03","19:00","Minnesota Timberwolves",89,"Orlando Magic",100,15705,""
"2008-12-03","19:00","Los Angeles Lakers",114,"Philadelphia 76ers",102,19119,""
"2008-12-03","19:00","Portland Trail Blazers",98,"Washington Wizards",92,12802,""
"2008-12-03","19:30","Indiana Pacers",96,"Boston Celtics",114,18624,""
"2008-12-03","20:00","Chicago Bulls",90,"Milwaukee Bucks",97,13684,""
"2008-12-03","20:00","Phoenix Suns",91,"New Orleans Hornets",104,15804,""
"2008-12-03","20:30","Los Angeles Clippers",96,"Houston Rockets",103,15358,""
"2008-12-03","21:00","Miami Heat",93,"Utah Jazz",89,19911,""
"2008-12-04","20:00","Phoenix Suns",97,"Dallas Mavericks",112,19813,""
"2008-12-04","22:30","San Antonio Spurs",108,"Denver Nuggets",91,15866,""
"2008-12-05","19:00","Oklahoma City Thunder",89,"Orlando Magic",98,16812,""
"2008-12-05","19:00","Los Angeles Lakers",106,"Washington Wizards",104,20173,""
"2008-12-05","19:30","New York Knicks",95,"Atlanta Hawks",98,16366,""
"2008-12-05","19:30","Indiana Pacers",73,"Cleveland Cavaliers",97,20562,""
"2008-12-05","19:30","Minnesota Timberwolves",84,"New Jersey Nets",113,15364,""
"2008-12-05","20:00","Portland Trail Blazers",78,"Boston Celtics",93,18624,""
"2008-12-05","20:00","Philadelphia 76ers",96,"Detroit Pistons",91,22076,""
"2008-12-05","20:00","Los Angeles Clippers",81,"Memphis Grizzlies",93,10484,""
"2008-12-05","20:30","Golden State Warriors",112,"Houston Rockets",131,14438,""
"2008-12-05","20:30","Charlotte Bobcats",96,"Milwaukee Bucks",101,14875,""
"2008-12-05","22:30","Toronto Raptors",87,"Utah Jazz",114,19911,""
"2008-12-06","19:00","Cleveland Cavaliers",94,"Charlotte Bobcats",74,19133,""
"2008-12-06","19:30","Oklahoma City Thunder",99,"Miami Heat",105,17585,""
"2008-12-06","19:30","New Jersey Nets",95,"Philadelphia 76ers",84,13096,""
"2008-12-06","20:00","Los Angeles Clippers",107,"Minnesota Timberwolves",84,10863,""
"2008-12-06","20:00","Memphis Grizzlies",87,"New Orleans Hornets",106,16822,""
"2008-12-06","20:30","Washington Wizards",110,"Chicago Bulls",117,21741,""
"2008-12-06","20:30","Atlanta Hawks",98,"Dallas Mavericks",100,19966,""
"2008-12-06","20:30","Golden State Warriors",88,"San Antonio Spurs",123,17740,""
"2008-12-06","21:00","Utah Jazz",104,"Phoenix Suns",106,18422,""
"2008-12-06","22:00","Denver Nuggets",118,"Sacramento Kings",85,12322,""
"2008-12-07","12:00","Detroit Pistons",92,"New York Knicks",104,19763,""
"2008-12-07","13:00","Portland Trail Blazers",98,"Toronto Raptors",97,17671,""
"2008-12-07","18:00","Boston Celtics",122,"Indiana Pacers",117,16102,""
"2008-12-07","21:30","Milwaukee Bucks",92,"Los Angeles Lakers",105,18997,""
"2008-12-08","19:30","Charlotte Bobcats",96,"Miami Heat",100,15024,""
"2008-12-08","20:00","Houston Rockets",97,"Memphis Grizzlies",109,10691,""
"2008-12-08","20:00","Golden State Warriors",112,"Oklahoma City Thunder",102,17854,""
"2008-12-08","22:30","Orlando Magic",95,"Los Angeles Clippers",88,15222,""
"2008-12-09","19:00","Toronto Raptors",94,"Cleveland Cavaliers",114,20049,""
"2008-12-09","19:00","Detroit Pistons",94,"Washington Wizards",107,14707,""
"2008-12-09","20:00","Utah Jazz",99,"Minnesota Timberwolves",96,10745,""
"2008-12-09","20:30","New York Knicks",100,"Chicago Bulls",105,19519,""
"2008-12-09","20:30","San Antonio Spurs",133,"Dallas Mavericks",126,19937,""
"2008-12-09","20:30","Atlanta Hawks",84,"Houston Rockets",92,16439,""
"2008-12-09","21:00","Milwaukee Bucks",110,"Phoenix Suns",125,18422,""
"2008-12-09","22:00","Orlando Magic",109,"Portland Trail Blazers",108,20642,""
"2008-12-09","22:00","Los Angeles Lakers",101,"Sacramento Kings",113,16068,""
"2008-12-10","19:00","Indiana Pacers",88,"Toronto Raptors",101,17877,""
"2008-12-10","19:30","New York Knicks",121,"New Jersey Nets",109,16722,""
"2008-12-10","20:00","Charlotte Bobcats",89,"New Orleans Hornets",105,15750,""
"2008-12-10","20:00","Memphis Grizzlies",108,"Oklahoma City Thunder",102,18009,""
"2008-12-10","20:00","Cleveland Cavaliers",101,"Philadelphia 76ers",93,15550,""
"2008-12-10","20:30","Atlanta Hawks",89,"San Antonio Spurs",95,18161,""
"2008-12-10","21:00","Minnesota Timberwolves",105,"Denver Nuggets",116,14007,""
"2008-12-10","22:30","Milwaukee Bucks",96,"Golden State Warriors",119,18375,""
"2008-12-10","22:30","Phoenix Suns",110,"Los Angeles Lakers",115,18997,""
"2008-12-11","20:00","Boston Celtics",122,"Washington Wizards",88,20173,""
"2008-12-11","20:30","Charlotte Bobcats",90,"Dallas Mavericks",95,19736,""
"2008-12-11","22:30","Portland Trail Blazers",88,"Utah Jazz",97,19911,""
"2008-12-12","19:30","Philadelphia 76ers",72,"Cleveland Cavaliers",88,20562,""
"2008-12-12","19:30","Atlanta Hawks",87,"Miami Heat",73,19600,""
"2008-12-12","19:30","Toronto Raptors",101,"New Jersey Nets",79,13926,""
"2008-12-12","20:00","New Orleans Hornets",82,"Boston Celtics",94,18624,""
"2008-12-12","20:00","Indiana Pacers",110,"Detroit Pistons",114,22076,""
"2008-12-12","20:00","Chicago Bulls",96,"Memphis Grizzlies",103,17132,""
"2008-12-12","20:00","San Antonio Spurs",98,"Minnesota Timberwolves",86,15336,""
"2008-12-12","21:00","Orlando Magic",112,"Phoenix Suns",113,18422,""
"2008-12-12","22:00","Los Angeles Clippers",120,"Portland Trail Blazers",112,20558,""
"2008-12-12","22:30","Houston Rockets",119,"Golden State Warriors",108,19276,""
"2008-12-12","22:30","Sacramento Kings",103,"Los Angeles Lakers",112,18997,""
"2008-12-13","19:00","Cleveland Cavaliers",92,"Atlanta Hawks",97,19200,""
"2008-12-13","19:00","Detroit Pistons",90,"Charlotte Bobcats",86,17373,""
"2008-12-13","19:30","Washington Wizards",89,"Philadelphia 76ers",104,15865,""
"2008-12-13","20:30","New Jersey Nets",104,"Chicago Bulls",113,21751,""
"2008-12-13","20:30","Oklahoma City Thunder",99,"Dallas Mavericks",103,20190,""
"2008-12-13","20:30","Indiana Pacers",103,"Milwaukee Bucks",121,14921,""
"2008-12-13","21:00","Golden State Warriors",105,"Denver Nuggets",123,15322,""
"2008-12-13","21:00","Orlando Magic",103,"Utah Jazz",94,19911,""
"2008-12-13","22:00","New York Knicks",114,"Sacramento Kings",90,12155,""
"2008-12-13","22:30","Houston Rockets",82,"Los Angeles Clippers",95,16203,""
"2008-12-14","12:30","New Orleans Hornets",99,"Toronto Raptors",91,18537,""
"2008-12-14","16:00","Miami Heat",86,"Memphis Grizzlies",102,12271,""
"2008-12-14","19:00","Oklahoma City Thunder",104,"San Antonio Spurs",109,17419,""
"2008-12-14","21:30","Minnesota Timberwolves",86,"Los Angeles Lakers",98,18997,""
"2008-12-15","19:00","Charlotte Bobcats",79,"Atlanta Hawks",83,12733,""
"2008-12-15","19:00","New Jersey Nets",94,"Toronto Raptors",87,18561,""
"2008-12-15","19:00","Indiana Pacers",118,"Washington Wizards",98,14502,""
"2008-12-15","19:30","Utah Jazz",91,"Boston Celtics",100,18624,""
"2008-12-15","19:30","Milwaukee Bucks",98,"Miami Heat",83,15029,""
"2008-12-15","20:30","Denver Nuggets",98,"Dallas Mavericks",88,19969,""
"2008-12-15","21:00","New York Knicks",103,"Phoenix Suns",111,18422,""
"2008-12-15","22:00","Minnesota Timberwolves",103,"Sacramento Kings",118,10593,""
"2008-12-15","22:30","Orlando Magic",109,"Golden State Warriors",98,18844,""
"2008-12-16","19:00","Chicago Bulls",101,"Charlotte Bobcats",110,11225,""
"2008-12-16","20:00","New Orleans Hornets",91,"Memphis Grizzlies",84,10231,""
"2008-12-16","20:00","Los Angeles Clippers",98,"Oklahoma City Thunder",88,18275,""
"2008-12-16","20:30","Denver Nuggets",96,"Houston Rockets",108,17737,""
"2008-12-16","22:00","Sacramento Kings",77,"Portland Trail Blazers",109,20005,""
"2008-12-16","22:30","New York Knicks",114,"Los Angeles Lakers",116,18997,""
"2008-12-17","19:00","Boston Celtics",88,"Atlanta Hawks",85,18729,""
"2008-12-17","19:00","Golden State Warriors",120,"Indiana Pacers",127,11151,""
"2008-12-17","19:00","Milwaukee Bucks",88,"Philadelphia 76ers",93,11538,""
"2008-12-17","19:00","Dallas Mavericks",96,"Toronto Raptors",86,18832,""
"2008-12-17","19:30","Washington Wizards",74,"Detroit Pistons",88,22076,""
"2008-12-17","19:30","Utah Jazz",103,"New Jersey Nets",92,12542,""
"2008-12-17","20:00","Cleveland Cavaliers",93,"Minnesota Timberwolves",70,14899,""
"2008-12-17","20:30","Los Angeles Clippers",109,"Chicago Bulls",115,20102,""
"2008-12-17","21:30","San Antonio Spurs",83,"New Orleans Hornets",90,16593,""
"2008-12-18","20:00","San Antonio Spurs",78,"Orlando Magic",90,17461,""
"2008-12-18","22:30","Phoenix Suns",119,"Portland Trail Blazers",124,20650,""
"2008-12-19","19:00","Los Angeles Clippers",117,"Indiana Pacers",109,12653,""
"2008-12-19","19:00","Philadelphia 76ers",109,"Washington Wizards",103,18323,""
"2008-12-19","19:30","Golden State Warriors",99,"Atlanta Hawks",115,16768,""
"2008-12-19","19:30","Chicago Bulls",108,"Boston Celtics",126,18624,""
"2008-12-19","19:30","Dallas Mavericks",97,"New Jersey Nets",121,9889,""
"2008-12-19","19:30","Milwaukee Bucks",105,"New York Knicks",81,19009,""
"2008-12-19","20:00","Utah Jazz",120,"Detroit Pistons",114,22076,""
"2008-12-19","20:00","Charlotte Bobcats",112,"Memphis Grizzlies",83,11869,""
"2008-12-19","20:00","Los Angeles Lakers",87,"Miami Heat",89,19600,""
"2008-12-19","20:00","Toronto Raptors",83,"Oklahoma City Thunder",91,18806,""
"2008-12-19","20:30","Sacramento Kings",96,"Houston Rockets",107,18271,""
"2008-12-19","22:30","Cleveland Cavaliers",105,"Denver Nuggets",88,19155,""
"2008-12-20","19:00","Golden State Warriors",110,"Charlotte Bobcats",103,13068,""
"2008-12-20","19:00","Los Angeles Lakers",103,"Orlando Magic",106,17461,""
"2008-12-20","19:30","Indiana Pacers",95,"Philadelphia 76ers",94,14599,""
"2008-12-20","20:00","Houston Rockets",109,"Minnesota Timberwolves",102,12115,""
"2008-12-20","20:00","Miami Heat",106,"New Jersey Nets",103,14139,""
"2008-12-20","20:00","Sacramento Kings",90,"New Orleans Hornets",99,16869,""
"2008-12-20","20:30","Utah Jazz",98,"Chicago Bulls",106,22046,""
"2008-12-20","20:30","Los Angeles Clippers",85,"Milwaukee Bucks",119,15014,""
"2008-12-20","20:30","Toronto Raptors",97,"San Antonio Spurs",107,17227,""
"2008-12-20","21:00","Denver Nuggets",101,"Phoenix Suns",108,18422,""
"2008-12-21","14:00","Detroit Pistons",78,"Atlanta Hawks",85,15233,""
"2008-12-21","18:00","New York Knicks",105,"Boston Celtics",124,18624,""
"2008-12-21","18:00","Dallas Mavericks",97,"Washington Wizards",86,15582,""
"2008-12-21","19:00","Cleveland Cavaliers",102,"Oklahoma City Thunder",91,19136,""
"2008-12-22","19:00","Golden State Warriors",81,"Orlando Magic",113,17461,""
"2008-12-22","19:30","Houston Rockets",114,"New Jersey Nets",91,16303,""
"2008-12-22","20:00","Los Angeles Lakers",105,"Memphis Grizzlies",96,17456,""
"2008-12-22","20:30","Sacramento Kings",85,"San Antonio Spurs",101,18372,""
"2008-12-22","21:00","Portland Trail Blazers",89,"Denver Nuggets",97,18611,""
"2008-12-22","22:30","Toronto Raptors",97,"Los Angeles Clippers",75,16094,""
"2008-12-23","19:00","Oklahoma City Thunder",88,"Atlanta Hawks",99,12138,""
"2008-12-23","19:00","Washington Wizards",72,"Charlotte Bobcats",80,13776,""
"2008-12-23","19:00","Houston Rockets",90,"Cleveland Cavaliers",99,20562,""
"2008-12-23","19:00","New Jersey Nets",108,"Indiana Pacers",107,11272,""
"2008-12-23","19:30","Philadelphia 76ers",91,"Boston Celtics",110,18624,""
"2008-12-23","19:30","Golden State Warriors",88,"Miami Heat",96,17862,""
"2008-12-23","20:00","Chicago Bulls",98,"Detroit Pistons",104,22076,""
"2008-12-23","20:00","Utah Jazz",86,"Milwaukee Bucks",94,14888,""
"2008-12-23","20:00","Los Angeles Lakers",100,"New Orleans Hornets",87,18405,""
"2008-12-23","20:30","Memphis Grizzlies",82,"Dallas Mavericks",100,20200,""
"2008-12-23","20:30","Minnesota Timberwolves",93,"San Antonio Spurs",99,17996,""
"2008-12-23","22:00","Denver Nuggets",92,"Portland Trail Blazers",101,20007,""
"2008-12-25","12:00","New Orleans Hornets",68,"Orlando Magic",88,17461,""
"2008-12-25","14:30","San Antonio Spurs",91,"Phoenix Suns",90,18422,""
"2008-12-25","17:00","Boston Celtics",83,"Los Angeles Lakers",92,18997,""
"2008-12-25","20:00","Washington Wizards",89,"Cleveland Cavaliers",93,20562,""
"2008-12-25","22:30","Dallas Mavericks",102,"Portland Trail Blazers",94,20643,""
"2008-12-26","17:00","Chicago Bulls",77,"Miami Heat",90,19600,""
"2008-12-26","19:30","Charlotte Bobcats",95,"New Jersey Nets",87,16852,""
"2008-12-26","19:30","Minnesota Timberwolves",120,"New York Knicks",107,19763,""
"2008-12-26","20:00","Oklahoma City Thunder",88,"Detroit Pistons",90,22076,""
"2008-12-26","20:00","Indiana Pacers",105,"Memphis Grizzlies",108,12346,""
"2008-12-26","20:00","Houston Rockets",79,"New Orleans Hornets",88,18326,""
"2008-12-26","21:00","Philadelphia 76ers",101,"Denver Nuggets",105,19155,""
"2008-12-26","21:00","Dallas Mavericks",88,"Utah Jazz",97,19911,""
"2008-12-26","22:00","Toronto Raptors",107,"Sacramento Kings",101,12059,""
"2008-12-26","22:30","Boston Celtics",89,"Golden State Warriors",99,19596,""
"2008-12-27","19:00","Chicago Bulls",117,"Atlanta Hawks",129,18031,""
"2008-12-27","19:00","New Jersey Nets",114,"Charlotte Bobcats",103,15837,""
"2008-12-27","19:00","Oklahoma City Thunder",95,"Washington Wizards",104,16181,""
"2008-12-27","20:00","Orlando Magic",118,"Minnesota Timberwolves",94,17003,""
"2008-12-27","20:30","Utah Jazz",115,"Houston Rockets",120,18245,""
"2008-12-27","20:30","Detroit Pistons",87,"Milwaukee Bucks",76,17086,""
"2008-12-27","20:30","Memphis Grizzlies",103,"San Antonio Spurs",106,18797,""
"2008-12-27","22:00","Toronto Raptors",89,"Portland Trail Blazers",102,20588,""
"2008-12-28","13:00","Denver Nuggets",117,"New York Knicks",110,19763,""
"2008-12-28","15:30","Dallas Mavericks",98,"Los Angeles Clippers",76,16685,""
"2008-12-28","19:00","Miami Heat",86,"Cleveland Cavaliers",93,20562,""
"2008-12-28","19:00","New Orleans Hornets",105,"Indiana Pacers",103,14374,""
"2008-12-28","21:00","Boston Celtics",108,"Sacramento Kings",63,16029,""
"2008-12-28","21:30","Golden State Warriors",113,"Los Angeles Lakers",130,18997,""
"2008-12-29","19:00","Denver Nuggets",91,"Atlanta Hawks",109,17131,""
"2008-12-29","19:30","Orlando Magic",82,"Detroit Pistons",88,22076,""
"2008-12-29","19:30","Chicago Bulls",100,"New Jersey Nets",87,18786,""
"2008-12-29","20:00","Memphis Grizzlies",98,"Minnesota Timberwolves",108,12207,""
"2008-12-29","20:00","Phoenix Suns",110,"Oklahoma City Thunder",102,19136,""
"2008-12-29","20:30","Washington Wizards",89,"Houston Rockets",87,18278,""
"2008-12-29","21:00","Philadelphia 76ers",95,"Utah Jazz",112,19911,""
"2008-12-29","22:30","Toronto Raptors",111,"Golden State Warriors",117,19596,""
"2008-12-30","19:00","New York Knicks",93,"Charlotte Bobcats",89,15108,""
"2008-12-30","19:00","Atlanta Hawks",110,"Indiana Pacers",104,13762,""
"2008-12-30","19:30","Cleveland Cavaliers",95,"Miami Heat",104,19600,""
"2008-12-30","20:00","Phoenix Suns",101,"Memphis Grizzlies",89,14471,""
"2008-12-30","20:00","Washington Wizards",85,"New Orleans Hornets",97,18021,""
"2008-12-30","20:30","Minnesota Timberwolves",100,"Dallas Mavericks",107,20264,""
"2008-12-30","20:30","Milwaukee Bucks",100,"San Antonio Spurs",98,18797,""
"2008-12-30","22:00","Boston Celtics",86,"Portland Trail Blazers",91,20651,""
"2008-12-30","22:00","Los Angeles Clippers",90,"Sacramento Kings",92,11420,""
"2008-12-31","14:00","Orlando Magic",113,"Chicago Bulls",94,21861,""
"2008-12-31","15:00","New Jersey Nets",75,"Detroit Pistons",83,22076,""
"2008-12-31","19:00","Milwaukee Bucks",81,"Houston Rockets",85,18228,""
"2008-12-31","19:00","Denver Nuggets",114,"Toronto Raptors",107,18879,""
"2008-12-31","20:00","Golden State Warriors",100,"Oklahoma City Thunder",107,18229,""
"2008-12-31","21:30","Philadelphia 76ers",100,"Los Angeles Clippers",92,14021,""
