"Date","Start (ET)","Visitor/Neutral","Visitor/Neutral PTS","Home/Neutral","Home/Neutral PTS","Attendance","Notes"
"2008-10-28","20:00","Cleveland Cavaliers",85,"Boston Celtics",90,18624,""
"2008-10-28","20:30","Milwaukee Bucks",95,"Chicago Bulls",108,21762,""
"2008-10-28","22:30","Portland Trail Blazers",76,"Los Angeles Lakers",96,18997,""
"2008-10-29","18:00","Toronto Raptors",95,"Philadelphia 76ers",84,15750,""
"2008-10-29","19:00","New Jersey Nets",95,"Washington Wizards",85,20173,""
"2008-10-29","19:00","Atlanta Hawks",99,"Orlando Magic",85,17461,""
"2008-10-29","19:30","Miami Heat",115,"New York Knicks",120,19763,""
"2008-10-29","20:00","Phoenix Suns",103,"San Antonio Spurs",98,18797,""
"2008-10-29","20:00","Milwaukee Bucks",98,"Oklahoma City Thunder",87,19136,""
"2008-10-29","20:00","Sacramento Kings",96,"Minnesota Timberwolves",98,17820,""
"2008-10-29","20:00","Indiana Pacers",94,"Detroit Pistons",100,22076,""
"2008-10-29","20:30","Memphis Grizzlies",71,"Houston Rockets",82,18196,""
"2008-10-29","21:00","Denver Nuggets",94,"Utah Jazz",98,19911,""
"2008-10-29","22:30","Los Angeles Lakers",117,"Los Angeles Clippers",79,19060,""
"2008-10-29","22:30","New Orleans Hornets",108,"Golden State Warriors",103,19128,""
"2008-10-30","19:00","Charlotte Bobcats",79,"Cleveland Cavaliers",96,20562,""
"2008-10-30","20:00","Houston Rockets",112,"Dallas Mavericks",102,20066,""
"2008-10-30","22:30","New Orleans Hornets",108,"Phoenix Suns",95,18422,""
"2008-10-31","19:00","New York Knicks",87,"Philadelphia 76ers",116,11717,""
"2008-10-31","19:00","Golden State Warriors",108,"Toronto Raptors",112,19800,""
"2008-10-31","19:30","Sacramento Kings",77,"Miami Heat",103,19600,""
"2008-10-31","20:00","Chicago Bulls",80,"Boston Celtics",96,18624,""
"2008-10-31","20:00","Orlando Magic",84,"Memphis Grizzlies",86,16139,""
"2008-10-31","22:30","Denver Nuggets",113,"Los Angeles Clippers",103,11418,""
"2008-10-31","22:30","San Antonio Spurs",99,"Portland Trail Blazers",100,20516,""
