"Date","Start (ET)","Visitor/Neutral","Visitor/Neutral PTS","Home/Neutral","Home/Neutral PTS","Attendance","Notes"
"2000-11-01","19:00","Detroit Pistons",83,"Boston Celtics",103,17725,""
"2000-11-01","19:00","Toronto Raptors",98,"Philadelphia 76ers",104,19817,""
"2000-11-01","19:30","Washington Wizards",95,"Charlotte Hornets",77,16043,""
"2000-11-01","19:30","Sacramento Kings",100,"Cleveland Cavaliers",102,17695,""
"2000-11-01","20:00","Orlando Magic",79,"Miami Heat",105,16500,""
"2000-11-01","22:00","Denver Nuggets",99,"Seattle SuperSonics",112,17072,""
"2000-11-01","22:30","Utah Jazz",97,"Los Angeles Lakers",92,18997,""
"2000-11-02","19:30","Atlanta Hawks",69,"New York Knicks",94,19763,""
"2000-11-02","20:00","Indiana Pacers",88,"Dallas Mavericks",94,11750,""
"2000-11-02","20:00","Minnesota Timberwolves",91,"San Antonio Spurs",103,14193,""
"2000-11-02","20:30","Milwaukee Bucks",93,"Houston Rockets",115,10687,""
"2000-11-02","21:00","Golden State Warriors",97,"Denver Nuggets",101,15790,""
"2000-11-02","21:00","Portland Trail Blazers",82,"Phoenix Suns",108,18436,""
"2000-11-02","22:30","Vancouver Grizzlies",99,"Los Angeles Clippers",91,15546,""
"2000-11-03","19:00","New York Knicks",80,"Washington Wizards",76,20674,""
"2000-11-03","19:30","Toronto Raptors",91,"Boston Celtics",93,17464,""
"2000-11-03","19:30","Miami Heat",79,"Charlotte Hornets",83,14016,""
"2000-11-03","19:30","Philadelphia 76ers",87,"Orlando Magic",80,14233,""
"2000-11-03","20:00","Sacramento Kings",100,"Detroit Pistons",93,22076,""
"2000-11-03","20:30","New Jersey Nets",92,"Chicago Bulls",82,21908,""
"2000-11-04","15:30","Los Angeles Lakers",98,"Vancouver Grizzlies",89,18183,""
"2000-11-04","19:00","Chicago Bulls",81,"Indiana Pacers",94,18345,""
"2000-11-04","19:00","Washington Wizards",96,"Toronto Raptors",103,18726,""
"2000-11-04","19:30","Orlando Magic",107,"Atlanta Hawks",104,13833,""
"2000-11-04","19:30","Boston Celtics",89,"Cleveland Cavaliers",91,18392,""
"2000-11-04","19:30","Philadelphia 76ers",84,"Miami Heat",82,16029,""
