"Date","Start (ET)","Visitor/Neutral","Visitor/Neutral PTS","Home/Neutral","Home/Neutral PTS","Attendance","Notes"
"2001-06-01","21:00","Philadelphia 76ers",100,"Milwaukee Bucks",110,18717,""
"2001-06-03","19:30","Milwaukee Bucks",91,"Philadelphia 76ers",108,21046,""
"2001-06-06","21:00","Philadelphia 76ers",107,"Los Angeles Lakers",101,18997,""
"2001-06-08","21:00","Philadelphia 76ers",89,"Los Angeles Lakers",98,18997,""
"2001-06-10","19:30","Los Angeles Lakers",96,"Philadelphia 76ers",91,20900,""
"2001-06-13","21:00","Los Angeles Lakers",100,"Philadelphia 76ers",86,20896,""
"2001-06-15","21:00","Los Angeles Lakers",108,"Philadelphia 76ers",96,20890,""
