"Date","Start (ET)","Visitor/Neutral","Visitor/Neutral PTS","Home/Neutral","Home/Neutral PTS","Attendance","Notes"
"1997-04-01","","Boston Celtics",106,"Chicago Bulls",111,23906,""
"1997-04-01","","New York Knicks",94,"Cleveland Cavaliers",88,18836,""
"1997-04-01","","Detroit Pistons",100,"Dallas Mavericks",82,15291,""
"1997-04-01","","Houston Rockets",116,"Denver Nuggets",99,13341,""
"1997-04-01","","Washington Bullets",104,"Indiana Pacers",100,13873,""
"1997-04-01","","Los Angeles Clippers",87,"Miami Heat",97,14981,""
"1997-04-01","","Philadelphia 76ers",105,"Orlando Magic",93,17248,""
"1997-04-01","","Golden State Warriors",91,"Portland Trail Blazers",82,21239,""
"1997-04-01","","Los Angeles Lakers",99,"Seattle SuperSonics",97,17072,""
"1997-04-01","","Milwaukee Bucks",102,"Vancouver Grizzlies",91,17193,""
"1997-04-02","","Cleveland Cavaliers",96,"Boston Celtics",87,15721,""
"1997-04-02","","Atlanta Hawks",84,"Charlotte Hornets",95,24042,""
"1997-04-02","","Denver Nuggets",85,"Los Angeles Lakers",110,17141,""
"1997-04-02","","New Jersey Nets",89,"Minnesota Timberwolves",94,14919,""
"1997-04-02","","Toronto Raptors",112,"Philadelphia 76ers",90,13769,""
"1997-04-02","","Houston Rockets",96,"Phoenix Suns",109,19023,""
"1997-04-02","","Detroit Pistons",99,"San Antonio Spurs",92,14489,""
"1997-04-02","","Sacramento Kings",87,"Utah Jazz",118,19911,""
"1997-04-03","","Dallas Mavericks",90,"Golden State Warriors",106,13669,""
"1997-04-03","","Miami Heat",92,"Indiana Pacers",78,14912,""
"1997-04-03","","Charlotte Hornets",93,"New Jersey Nets",87,17593,""
"1997-04-03","","Los Angeles Clippers",113,"Orlando Magic",94,17248,""
"1997-04-03","","Milwaukee Bucks",80,"Seattle SuperSonics",103,17072,""
"1997-04-03","","Chicago Bulls",102,"Washington Bullets",110,18756,""
"1997-04-04","","Detroit Pistons",89,"Atlanta Hawks",103,16378,""
"1997-04-04","","Los Angeles Clippers",117,"Boston Celtics",102,16820,""
"1997-04-04","","Cleveland Cavaliers",71,"Chicago Bulls",84,23955,""
"1997-04-04","","Phoenix Suns",122,"Denver Nuggets",113,12204,""
"1997-04-04","","San Antonio Spurs",94,"Los Angeles Lakers",83,17505,""
"1997-04-04","","Washington Bullets",95,"Minnesota Timberwolves",97,18788,""
"1997-04-04","","Orlando Magic",93,"New York Knicks",84,19763,""
"1997-04-04","","Indiana Pacers",114,"Philadelphia 76ers",103,18187,""
"1997-04-04","","Milwaukee Bucks",93,"Portland Trail Blazers",108,21538,""
"1997-04-04","","Houston Rockets",108,"Sacramento Kings",94,17317,""
"1997-04-04","","Vancouver Grizzlies",79,"Utah Jazz",106,19911,""
"1997-04-05","","New York Knicks",102,"Atlanta Hawks",97,16378,""
"1997-04-05","","Philadelphia 76ers",113,"Charlotte Hornets",115,24042,""
"1997-04-05","","San Antonio Spurs",103,"Golden State Warriors",120,13948,""
"1997-04-05","","Toronto Raptors",84,"Miami Heat",98,15200,""
"1997-04-05","","Phoenix Suns",99,"Portland Trail Blazers",90,21538,""
"1997-04-05","","Dallas Mavericks",84,"Seattle SuperSonics",103,17072,""
"1997-04-06","","Washington Bullets",120,"Boston Celtics",114,16785,""
"1997-04-06","","Utah Jazz",114,"Golden State Warriors",100,15167,""
"1997-04-06","","Dallas Mavericks",80,"Los Angeles Lakers",87,17364,""
"1997-04-06","","Indiana Pacers",94,"Minnesota Timberwolves",83,18881,""
"1997-04-06","","Los Angeles Clippers",103,"New Jersey Nets",96,15731,""
"1997-04-06","","Chicago Bulls",110,"Orlando Magic",94,17248,""
"1997-04-06","","Seattle SuperSonics",101,"Sacramento Kings",113,17317,""
