"Date","Start (ET)","Visitor/Neutral","Visitor/Neutral PTS","Home/Neutral","Home/Neutral PTS","Attendance","Notes"
"1981-10-30","","Golden State Warriors",121,"Denver Nuggets",134,11989,""
"1981-10-30","","Dallas Mavericks",89,"Utah Jazz",105,6709,""
"1981-10-30","","Phoenix Suns",95,"Portland Trail Blazers",103,12666,""
"1981-10-30","","Cleveland Cavaliers",104,"Philadelphia 76ers",128,14102,""
"1981-10-30","","New York Knicks",103,"New Jersey Nets",99,17150,""
"1981-10-30","","Houston Rockets",113,"Los Angeles Lakers",112,15884,""
"1981-10-30","","San Antonio Spurs",113,"Kansas City Kings",102,11010,""
"1981-10-30","","Chicago Bulls",94,"Indiana Pacers",96,8492,""
"1981-10-30","","Milwaukee Bucks",113,"Detroit Pistons",118,9182,""
"1981-10-30","","Washington Bullets",100,"Boston Celtics",124,15320,""
"1981-10-31","","Philadelphia 76ers",108,"Atlanta Hawks",106,9820,""
"1981-10-31","","Detroit Pistons",119,"Chicago Bulls",106,18633,""
"1981-10-31","","Kansas City Kings",89,"Dallas Mavericks",95,7865,""
"1981-10-31","","Utah Jazz",91,"Golden State Warriors",106,7193,""
"1981-10-31","","Boston Celtics",103,"Milwaukee Bucks",119,11052,""
"1981-10-31","","Indiana Pacers",106,"New York Knicks",99,15952,""
"1981-10-31","","Denver Nuggets",120,"San Antonio Spurs",145,9487,""
"1981-10-31","","Houston Rockets",110,"San Diego Clippers",125,6539,""
"1981-10-31","","Phoenix Suns",84,"Seattle SuperSonics",94,33014,""
