Date,Visitor/Neutral,PTS_1,Home/Neutral,PTS_2,_1,_2,Attend.,Notes
"Fri, Jan 1, 1982",Kansas City Kings,93,Golden State Warriors,125,Box Score,,"7,355",
"Fri, Jan 1, 1982",Philadelphia 76ers,120,Portland Trail Blazers,105,Box Score,,"12,666",
"Sat, Jan 2, 1982",New Jersey Nets,95,Atlanta Hawks,97,Box Score,,"6,089",
"Sat, Jan 2, 1982",Milwaukee Bucks,128,Chicago Bulls,121,Box Score,,"9,251",
"Sat, Jan 2, 1982",Boston Celtics,106,Cleveland Cavaliers,103,Box Score,,"13,457",
"Sat, Jan 2, 1982",Dallas Mavericks,100,Golden State Warriors,119,Box Score,,"7,401",
"Sat, Jan 2, 1982",Washington Bullets,107,Indiana Pacers,103,Box Score,,"6,421",
"Sat, Jan 2, 1982",Detroit Pistons,108,New York Knicks,121,Box Score,,"10,134",
"Sat, Jan 2, 1982",Seattle SuperSonics,97,Phoenix Suns,120,Box Score,,"12,779",
"Sat, Jan 2, 1982",Denver Nuggets,133,San Antonio Spurs,148,Box Score,,"9,263",
"Sat, Jan 2, 1982",Houston Rockets,108,San Diego Clippers,101,Box Score,,"3,501",
"Sat, Jan 2, 1982",Philadelphia 76ers,109,Utah Jazz,107,Box Score,,"10,133",
"Sun, Jan 3, 1982",Seattle SuperSonics,110,Los Angeles Lakers,90,Box Score,,"17,505",
"Sun, Jan 3, 1982",Denver Nuggets,128,Milwaukee Bucks,122,Box Score,,"11,052",
"Sun, Jan 3, 1982",Kansas City Kings,116,Portland Trail Blazers,127,Box Score,OT,"12,666",
"Tue, Jan 5, 1982",Cleveland Cavaliers,103,Atlanta Hawks,113,Box Score,,"5,142",
"Tue, Jan 5, 1982",Denver Nuggets,128,Chicago Bulls,134,Box Score,,"6,122",
"Tue, Jan 5, 1982",Philadelphia 76ers,101,Detroit Pistons,124,Box Score,,"9,282",
"Tue, Jan 5, 1982",Houston Rockets,112,Golden State Warriors,111,Box Score,,"7,502",
"Tue, Jan 5, 1982",Phoenix Suns,82,Indiana Pacers,87,Box Score,,"7,446",
"Tue, Jan 5, 1982",New York Knicks,112,Milwaukee Bucks,102,Box Score,,"9,887",
"Tue, Jan 5, 1982",San Antonio Spurs,110,Portland Trail Blazers,115,Box Score,,"12,666",
"Tue, Jan 5, 1982",Kansas City Kings,104,San Diego Clippers,112,Box Score,,"3,422",
"Tue, Jan 5, 1982",New Jersey Nets,114,Washington Bullets,108,Box Score,,"10,387",
"Wed, Jan 6, 1982",Chicago Bulls,116,Boston Celtics,102,Box Score,,"15,320",
"Wed, Jan 6, 1982",San Diego Clippers,114,Denver Nuggets,136,Box Score,,"8,281",
"Wed, Jan 6, 1982",Milwaukee Bucks,109,New Jersey Nets,95,Box Score,,"12,483",
"Wed, Jan 6, 1982",Washington Bullets,112,Philadelphia 76ers,126,Box Score,,"11,076",
"Wed, Jan 6, 1982",Dallas Mavericks,100,Seattle SuperSonics,107,Box Score,,"10,533",
"Wed, Jan 6, 1982",San Antonio Spurs,115,Utah Jazz,130,Box Score,,"4,836",
