"Date","Start (ET)","Visitor/Neutral","Visitor/Neutral PTS","Home/Neutral","Home/Neutral PTS","Attendance","Notes"
"1987-11-06","","Washington Bullets",97,"Atlanta Hawks",114,16064,""
"1987-11-06","","Milwaukee Bucks",108,"Boston Celtics",125,14890,""
"1987-11-06","","Utah Jazz",93,"Dallas Mavericks",95,17007,""
"1987-11-06","","Los Angeles Clippers",93,"Denver Nuggets",139,11534,""
"1987-11-06","","New York Knicks",99,"Detroit Pistons",110,28676,""
"1987-11-06","","San Antonio Spurs",102,"Houston Rockets",108,16611,""
"1987-11-06","","Seattle SuperSonics",109,"Los Angeles Lakers",113,17505,""
"1987-11-06","","Cleveland Cavaliers",114,"New Jersey Nets",108,13014,""
"1987-11-06","","Indiana Pacers",95,"Philadelphia 76ers",108,12287,""
"1987-11-06","","Phoenix Suns",104,"Portland Trail Blazers",118,12666,""
"1987-11-06","","Golden State Warriors",106,"Sacramento Kings",134,10333,""
"1987-11-07","","Cleveland Cavaliers",105,"Atlanta Hawks",113,11455,""
"1987-11-07","","Philadelphia 76ers",94,"Chicago Bulls",104,18688,""
"1987-11-07","","Denver Nuggets",103,"Golden State Warriors",99,13223,""
"1987-11-07","","New York Knicks",95,"Indiana Pacers",108,14801,""
"1987-11-07","","Portland Trail Blazers",124,"Los Angeles Clippers",99,10045,""
"1987-11-07","","Detroit Pistons",105,"Milwaukee Bucks",119,11052,""
"1987-11-07","","Dallas Mavericks",106,"San Antonio Spurs",130,14172,""
"1987-11-07","","Phoenix Suns",96,"Seattle SuperSonics",112,14252,""
"1987-11-07","","Sacramento Kings",100,"Utah Jazz",121,12212,""
"1987-11-07","","Boston Celtics",140,"Washington Bullets",139,18643,""
"1987-11-08","","Houston Rockets",92,"Los Angeles Lakers",101,17505,""
"1987-11-09","","Boston Celtics",96,"New York Knicks",87,19591,""
"1987-11-10","","Chicago Bulls",105,"Atlanta Hawks",95,16451,""
"1987-11-10","","Detroit Pistons",118,"Indiana Pacers",121,11885,""
"1987-11-10","","Utah Jazz",88,"Los Angeles Clippers",100,6104,""
"1987-11-10","","Washington Bullets",100,"Milwaukee Bucks",115,10586,""
"1987-11-10","","Golden State Warriors",109,"Phoenix Suns",123,9470,""
"1987-11-10","","Houston Rockets",118,"Portland Trail Blazers",111,12666,""
"1987-11-10","","Denver Nuggets",123,"Sacramento Kings",134,10333,""
"1987-11-10","","Los Angeles Lakers",133,"San Antonio Spurs",124,13751,""
"1987-11-10","","Dallas Mavericks",117,"Seattle SuperSonics",101,10447,""
"1987-11-11","","Indiana Pacers",106,"Boston Celtics",120,14890,""
"1987-11-11","","Milwaukee Bucks",109,"Cleveland Cavaliers",101,12145,""
"1987-11-11","","Phoenix Suns",115,"Golden State Warriors",130,8560,""
"1987-11-11","","Chicago Bulls",105,"New Jersey Nets",96,11552,""
"1987-11-11","","Atlanta Hawks",94,"New York Knicks",93,12781,""
"1987-11-11","","Dallas Mavericks",92,"Utah Jazz",121,12212,""
"1987-11-12","","Portland Trail Blazers",113,"Denver Nuggets",126,8271,""
"1987-11-12","","Los Angeles Clippers",82,"Los Angeles Lakers",111,15569,""
"1987-11-12","","Houston Rockets",116,"Sacramento Kings",114,10333,""
"1987-11-12","","Seattle SuperSonics",118,"San Antonio Spurs",123,6399,""
"1987-11-13","","Cleveland Cavaliers",114,"Boston Celtics",128,14890,""
"1987-11-13","","New Jersey Nets",85,"Chicago Bulls",103,17607,""
"1987-11-13","","Seattle SuperSonics",103,"Dallas Mavericks",95,17007,""
"1987-11-13","","Golden State Warriors",94,"Los Angeles Clippers",97,5760,""
"1987-11-13","","Detroit Pistons",113,"Philadelphia 76ers",94,12302,""
