"Date","Start (ET)","Visitor/Neutral","Visitor/Neutral PTS","Home/Neutral","Home/Neutral PTS","Attendance","Notes"
"1988-04-01","","Detroit Pistons",110,"Boston Celtics",121,14890,""
"1988-04-01","","San Antonio Spurs",105,"Los Angeles Clippers",91,8966,""
"1988-04-01","","Atlanta Hawks",105,"Philadelphia 76ers",93,13207,""
"1988-04-01","","Chicago Bulls",116,"Portland Trail Blazers",101,12666,""
"1988-04-01","","Dallas Mavericks",103,"Washington Bullets",118,13783,""
"1988-04-02","","Indiana Pacers",94,"Cleveland Cavaliers",108,14347,""
"1988-04-02","","Golden State Warriors",107,"Denver Nuggets",123,11824,""
"1988-04-02","","New Jersey Nets",111,"Milwaukee Bucks",125,11052,""
"1988-04-02","","Houston Rockets",98,"New York Knicks",104,16333,""
"1988-04-02","","Los Angeles Clippers",105,"Sacramento Kings",103,10333,""
"1988-04-02","","Phoenix Suns",107,"Seattle SuperSonics",151,9790,""
"1988-04-02","","Los Angeles Lakers",92,"Utah Jazz",106,12444,""
"1988-04-03","","Dallas Mavericks",101,"Boston Celtics",110,14890,""
"1988-04-03","","Chicago Bulls",112,"Detroit Pistons",110,23712,""
"1988-04-03","","Atlanta Hawks",102,"Indiana Pacers",100,8920,""
"1988-04-03","","Sacramento Kings",104,"Los Angeles Lakers",108,11505,""
"1988-04-03","","Washington Bullets",105,"New Jersey Nets",103,8558,""
"1988-04-03","","San Antonio Spurs",107,"Portland Trail Blazers",110,12666,""
"1988-04-05","","Milwaukee Bucks",110,"Atlanta Hawks",121,15442,""
"1988-04-05","","Washington Bullets",105,"Chicago Bulls",94,17700,""
"1988-04-05","","San Antonio Spurs",117,"Golden State Warriors",104,8283,""
"1988-04-05","","Denver Nuggets",110,"Houston Rockets",97,16611,""
"1988-04-05","","Cleveland Cavaliers",105,"Indiana Pacers",106,12580,""
"1988-04-05","","Seattle SuperSonics",90,"Los Angeles Lakers",94,17505,""
"1988-04-05","","Detroit Pistons",107,"New Jersey Nets",95,11586,""
"1988-04-05","","New York Knicks",136,"Philadelphia 76ers",119,8577,""
"1988-04-05","","Utah Jazz",106,"Phoenix Suns",111,9829,""
"1988-04-05","","Los Angeles Clippers",119,"Portland Trail Blazers",141,12666,""
"1988-04-06","","Washington Bullets",87,"Cleveland Cavaliers",98,10165,""
"1988-04-06","","Phoenix Suns",93,"Dallas Mavericks",119,16452,""
"1988-04-06","","Portland Trail Blazers",111,"Los Angeles Clippers",103,7593,""
"1988-04-06","","Chicago Bulls",119,"Milwaukee Bucks",110,"",""
"1988-04-06","","San Antonio Spurs",109,"Sacramento Kings",115,10333,""
"1988-04-06","","Golden State Warriors",102,"Seattle SuperSonics",114,9520,""
"1988-04-07","","New Jersey Nets",94,"Atlanta Hawks",120,11547,""
"1988-04-07","","Utah Jazz",107,"Houston Rockets",113,16611,""
"1988-04-08","","New Jersey Nets",90,"Boston Celtics",127,14890,""
"1988-04-08","","New York Knicks",122,"Chicago Bulls",131,18001,""
"1988-04-08","","Milwaukee Bucks",85,"Cleveland Cavaliers",104,16475,""
"1988-04-08","","Utah Jazz",95,"Dallas Mavericks",118,17007,""
"1988-04-08","","Phoenix Suns",111,"Golden State Warriors",112,8317,""
"1988-04-08","","Los Angeles Clippers",107,"Los Angeles Lakers",126,17505,""
"1988-04-08","","Detroit Pistons",96,"Philadelphia 76ers",86,15164,""
"1988-04-08","","Denver Nuggets",129,"San Antonio Spurs",124,6697,""
"1988-04-08","","Portland Trail Blazers",100,"Seattle SuperSonics",114,14438,""
"1988-04-08","","Indiana Pacers",100,"Washington Bullets",107,12236,""
"1988-04-09","","Detroit Pistons",115,"Atlanta Hawks",102,16451,""
"1988-04-09","","Denver Nuggets",109,"Dallas Mavericks",135,17007,""
"1988-04-09","","Indiana Pacers",100,"Milwaukee Bucks",105,11052,""
"1988-04-09","","Sacramento Kings",92,"Phoenix Suns",95,10575,""
"1988-04-09","","Los Angeles Lakers",109,"Portland Trail Blazers",119,12666,""
"1988-04-09","","Houston Rockets",108,"Seattle SuperSonics",104,13584,""
"1988-04-10","","Houston Rockets",105,"Los Angeles Clippers",122,10660,""
"1988-04-10","","Cleveland Cavaliers",119,"New Jersey Nets",105,8985,""
"1988-04-10","","Boston Celtics",117,"Philadelphia 76ers",108,18168,""
"1988-04-10","","Golden State Warriors",115,"Sacramento Kings",121,10333,""
"1988-04-10","","New York Knicks",118,"Washington Bullets",98,13761,""
"1988-04-11","","Washington Bullets",86,"Atlanta Hawks",85,10473,""
"1988-04-11","","Utah Jazz",113,"Golden State Warriors",102,9168,""
"1988-04-11","","New Jersey Nets",93,"Indiana Pacers",95,12520,""
"1988-04-11","","Philadelphia 76ers",115,"Milwaukee Bucks",102,11052,""
"1988-04-11","","Detroit Pistons",111,"New York Knicks",114,13312,""
"1988-04-11","","Denver Nuggets",123,"Phoenix Suns",119,9708,""
"1988-04-12","","Atlanta Hawks",103,"Cleveland Cavaliers",116,12418,""
"1988-04-12","","Portland Trail Blazers",103,"Los Angeles Lakers",109,17505,""
"1988-04-12","","Dallas Mavericks",104,"Sacramento Kings",96,10333,""
"1988-04-12","","Houston Rockets",119,"San Antonio Spurs",127,"",""
"1988-04-12","","Los Angeles Clippers",93,"Utah Jazz",100,12444,""
"1988-04-13","","Milwaukee Bucks",104,"Boston Celtics",123,14890,""
"1988-04-13","","Los Angeles Lakers",106,"Denver Nuggets",120,17022,""
"1988-04-13","","Cleveland Cavaliers",98,"Detroit Pistons",115,18808,""
"1988-04-13","","Dallas Mavericks",110,"Golden State Warriors",112,"",""
"1988-04-13","","Indiana Pacers",107,"New York Knicks",127,11587,""
