"Date","Start (ET)","Visitor/Neutral","Visitor/Neutral PTS","Home/Neutral","Home/Neutral PTS","Attendance","Notes"
"2012-11-01","21:30","Oklahoma City Thunder",84,"San Antonio Spurs",86,18581,""
"2012-11-02","19:00","Indiana Pacers",89,"Charlotte Bobcats",90,19124,""
"2012-11-02","19:00","Denver Nuggets",89,"Orlando Magic",102,18846,""
"2012-11-02","19:30","Houston Rockets",109,"Atlanta Hawks",102,18238,""
"2012-11-02","19:30","Milwaukee Bucks",99,"Boston Celtics",88,18624,""
"2012-11-02","19:30","Chicago Bulls",115,"Cleveland Cavaliers",86,20562,""
"2012-11-02","20:00","Sacramento Kings",80,"Minnesota Timberwolves",92,19356,""
"2012-11-02","20:00","Utah Jazz",86,"New Orleans Hornets",88,14147,""
"2012-11-02","20:00","Miami Heat",84,"New York Knicks",104,19033,""
"2012-11-02","20:00","Portland Trail Blazers",92,"Oklahoma City Thunder",106,18203,""
"2012-11-02","22:00","Detroit Pistons",89,"Phoenix Suns",92,15107,""
"2012-11-02","22:30","Memphis Grizzlies",104,"Golden State Warriors",94,19596,""
"2012-11-02","22:30","Los Angeles Clippers",105,"Los Angeles Lakers",95,18997,""
"2012-11-03","19:00","Sacramento Kings",98,"Indiana Pacers",106,18165,""
"2012-11-03","19:00","Boston Celtics",89,"Washington Wizards",86,20308,""
"2012-11-03","19:30","Toronto Raptors",100,"Brooklyn Nets",107,17732,""
"2012-11-03","19:30","Denver Nuggets",116,"Miami Heat",119,20104,""
"2012-11-03","20:00","New Orleans Hornets",89,"Chicago Bulls",82,21758,""
"2012-11-03","20:00","Portland Trail Blazers",95,"Houston Rockets",85,18140,""
"2012-11-03","20:30","Charlotte Bobcats",99,"Dallas Mavericks",126,19490,""
"2012-11-03","20:30","Cleveland Cavaliers",102,"Milwaukee Bucks",105,17086,""
"2012-11-03","20:30","Utah Jazz",100,"San Antonio Spurs",110,18581,""
"2012-11-03","22:30","Golden State Warriors",114,"Los Angeles Clippers",110,19060,""
"2012-11-04","12:00","Philadelphia 76ers",84,"New York Knicks",100,19033,""
"2012-11-04","18:00","Phoenix Suns",94,"Orlando Magic",115,17022,""
"2012-11-04","18:00","Minnesota Timberwolves",86,"Toronto Raptors",105,16754,""
"2012-11-04","19:00","Atlanta Hawks",104,"Oklahoma City Thunder",95,18203,""
"2012-11-04","21:30","Detroit Pistons",79,"Los Angeles Lakers",108,18997,""
"2012-11-05","19:00","New York Knicks",110,"Philadelphia 76ers",88,15783,""
"2012-11-05","19:30","Minnesota Timberwolves",107,"Brooklyn Nets",96,14017,""
"2012-11-05","19:30","Phoenix Suns",99,"Miami Heat",124,19600,""
"2012-11-05","20:00","Utah Jazz",94,"Memphis Grizzlies",103,17401,""
"2012-11-05","20:30","Portland Trail Blazers",91,"Dallas Mavericks",114,19521,""
"2012-11-05","20:30","Indiana Pacers",79,"San Antonio Spurs",101,17158,""
"2012-11-05","22:00","Golden State Warriors",92,"Sacramento Kings",94,17317,""
"2012-11-05","22:30","Cleveland Cavaliers",108,"Los Angeles Clippers",101,19060,""
"2012-11-06","20:00","Orlando Magic",93,"Chicago Bulls",99,21216,""
"2012-11-06","20:00","Toronto Raptors",88,"Oklahoma City Thunder",108,18203,""
"2012-11-06","21:00","Detroit Pistons",97,"Denver Nuggets",109,19155,""
"2012-11-07","19:00","Phoenix Suns",117,"Charlotte Bobcats",110,13905,""
"2012-11-07","19:30","Indiana Pacers",86,"Atlanta Hawks",89,10684,""
"2012-11-07","19:30","Washington Wizards",94,"Boston Celtics",100,18624,""
"2012-11-07","19:30","Brooklyn Nets",73,"Miami Heat",103,19627,""
"2012-11-07","20:00","Denver Nuggets",93,"Houston Rockets",87,13372,""
"2012-11-07","20:00","Memphis Grizzlies",108,"Milwaukee Bucks",90,11465,""
"2012-11-07","20:00","Orlando Magic",75,"Minnesota Timberwolves",90,17121,""
"2012-11-07","20:00","Philadelphia 76ers",77,"New Orleans Hornets",62,12988,""
"2012-11-07","20:30","Toronto Raptors",104,"Dallas Mavericks",109,19763,""
"2012-11-07","21:00","Los Angeles Lakers",86,"Utah Jazz",95,19911,""
"2012-11-07","22:00","Detroit Pistons",103,"Sacramento Kings",105,10185,""
"2012-11-07","22:30","Cleveland Cavaliers",96,"Golden State Warriors",106,18124,""
"2012-11-07","22:30","San Antonio Spurs",84,"Los Angeles Clippers",106,19060,""
"2012-11-08","20:00","Oklahoma City Thunder",97,"Chicago Bulls",91,21737,""
"2012-11-08","22:30","Los Angeles Clippers",103,"Portland Trail Blazers",90,20425,""
"2012-11-09","19:00","Brooklyn Nets",107,"Orlando Magic",68,17532,""
"2012-11-09","19:00","Milwaukee Bucks",101,"Washington Wizards",91,14531,""
"2012-11-09","19:30","Miami Heat",95,"Atlanta Hawks",89,16785,""
"2012-11-09","19:30","Philadelphia 76ers",106,"Boston Celtics",100,18624,""
"2012-11-09","19:30","Dallas Mavericks",94,"New York Knicks",104,19033,""
"2012-11-09","20:00","Houston Rockets",85,"Memphis Grizzlies",93,16087,""
"2012-11-09","20:00","Indiana Pacers",94,"Minnesota Timberwolves",96,18222,""
"2012-11-09","20:00","Charlotte Bobcats",99,"New Orleans Hornets",107,12668,""
"2012-11-09","20:00","Detroit Pistons",94,"Oklahoma City Thunder",105,18203,""
"2012-11-09","21:00","Cleveland Cavaliers",105,"Phoenix Suns",107,15236,""
"2012-11-09","22:00","San Antonio Spurs",97,"Sacramento Kings",86,13505,""
"2012-11-09","22:30","Utah Jazz",84,"Denver Nuggets",104,15523,""
"2012-11-09","22:30","Golden State Warriors",77,"Los Angeles Lakers",101,18997,""
"2012-11-10","19:00","Washington Wizards",85,"Indiana Pacers",89,12036,""
"2012-11-10","19:00","Philadelphia 76ers",93,"Toronto Raptors",83,19800,""
"2012-11-10","19:30","Dallas Mavericks",97,"Charlotte Bobcats",101,15763,""
"2012-11-10","20:00","Minnesota Timberwolves",80,"Chicago Bulls",87,21974,""
"2012-11-10","20:00","Detroit Pistons",82,"Houston Rockets",96,15037,""
"2012-11-10","20:30","Boston Celtics",96,"Milwaukee Bucks",92,14589,""
"2012-11-10","21:00","Phoenix Suns",81,"Utah Jazz",94,19100,""
"2012-11-10","22:00","San Antonio Spurs",112,"Portland Trail Blazers",109,20447,""
"2012-11-10","22:30","Denver Nuggets",107,"Golden State Warriors",101,19596,""
"2012-11-11","15:00","Orlando Magic",74,"Brooklyn Nets",82,16523,""
"2012-11-11","15:30","Atlanta Hawks",76,"Los Angeles Clippers",89,19060,""
"2012-11-11","18:00","Miami Heat",86,"Memphis Grizzlies",104,18119,""
"2012-11-11","19:00","Cleveland Cavaliers",91,"Oklahoma City Thunder",106,18203,""
"2012-11-11","21:30","Sacramento Kings",90,"Los Angeles Lakers",103,18997,""
"2012-11-12","19:00","Milwaukee Bucks",105,"Philadelphia 76ers",96,15086,""
"2012-11-12","19:00","Utah Jazz",140,"Toronto Raptors",133,18230,""
"2012-11-12","19:30","Oklahoma City Thunder",92,"Detroit Pistons",90,12784,""
"2012-11-12","20:00","Boston Celtics",101,"Chicago Bulls",95,21712,""
"2012-11-12","20:00","Miami Heat",113,"Houston Rockets",110,18041,""
"2012-11-12","20:30","Minnesota Timberwolves",90,"Dallas Mavericks",82,19322,""
"2012-11-12","21:00","Denver Nuggets",100,"Phoenix Suns",110,14060,""
"2012-11-12","22:00","Atlanta Hawks",95,"Portland Trail Blazers",87,19095,""
"2012-11-13","19:00","Washington Wizards",76,"Charlotte Bobcats",92,11139,""
"2012-11-13","19:00","Toronto Raptors",74,"Indiana Pacers",72,11947,""
"2012-11-13","19:00","New York Knicks",99,"Orlando Magic",89,18846,""
"2012-11-13","19:30","Cleveland Cavaliers",101,"Brooklyn Nets",114,17032,""
"2012-11-13","22:00","Portland Trail Blazers",103,"Sacramento Kings",86,10153,""
"2012-11-13","22:30","San Antonio Spurs",84,"Los Angeles Lakers",82,18997,""
"2012-11-14","19:00","Detroit Pistons",94,"Philadelphia 76ers",76,11879,""
"2012-11-14","19:30","Utah Jazz",93,"Boston Celtics",98,18624,""
"2012-11-14","20:00","New Orleans Hornets",96,"Houston Rockets",100,14535,""
"2012-11-14","20:00","Indiana Pacers",85,"Milwaukee Bucks",99,11573,""
"2012-11-14","20:00","Charlotte Bobcats",89,"Minnesota Timberwolves",87,13272,""
"2012-11-14","20:00","Memphis Grizzlies",107,"Oklahoma City Thunder",97,18203,""
"2012-11-14","20:30","Washington Wizards",101,"Dallas Mavericks",107,19560,""
"2012-11-14","21:00","Chicago Bulls",112,"Phoenix Suns",106,15305,""
"2012-11-14","22:30","Atlanta Hawks",88,"Golden State Warriors",92,18107,""
"2012-11-14","22:30","Miami Heat",100,"Los Angeles Clippers",107,19146,""
"2012-11-15","20:00","Boston Celtics",97,"Brooklyn Nets",102,17732,""
"2012-11-15","20:30","New York Knicks",104,"San Antonio Spurs",100,18581,""
"2012-11-15","22:30","Miami Heat",98,"Denver Nuggets",93,19155,""
"2012-11-16","19:00","Dallas Mavericks",83,"Indiana Pacers",103,15110,""
"2012-11-16","19:00","Utah Jazz",93,"Philadelphia 76ers",99,15851,""
"2012-11-16","19:30","Orlando Magic",110,"Detroit Pistons",106,11594,""
"2012-11-16","20:00","Golden State Warriors",106,"Minnesota Timberwolves",98,16013,""
"2012-11-16","20:00","Oklahoma City Thunder",110,"New Orleans Hornets",95,15458,""
"2012-11-16","21:30","New York Knicks",95,"Memphis Grizzlies",105,17516,""
"2012-11-16","22:00","Houston Rockets",117,"Portland Trail Blazers",119,20382,""
"2012-11-16","22:00","Atlanta Hawks",112,"Sacramento Kings",96,11814,""
"2012-11-16","22:30","Phoenix Suns",102,"Los Angeles Lakers",114,18997,""
"2012-11-17","12:30","Toronto Raptors",89,"Boston Celtics",107,18624,""
"2012-11-17","19:00","Utah Jazz",83,"Washington Wizards",76,16210,""
"2012-11-17","19:30","Memphis Grizzlies",94,"Charlotte Bobcats",87,16541,""
"2012-11-17","19:30","Dallas Mavericks",103,"Cleveland Cavaliers",95,18633,""
"2012-11-17","20:30","New Orleans Hornets",113,"Milwaukee Bucks",117,14731,""
"2012-11-17","20:30","Denver Nuggets",100,"San Antonio Spurs",126,18581,""
"2012-11-17","21:00","Chicago Bulls",80,"Los Angeles Clippers",101,19060,""
"2012-11-17","21:00","Miami Heat",97,"Phoenix Suns",88,16840,""
"2012-11-18","12:00","Indiana Pacers",76,"New York Knicks",88,19033,""
"2012-11-18","13:00","Orlando Magic",86,"Toronto Raptors",97,18702,""
"2012-11-18","18:00","Cleveland Cavaliers",79,"Philadelphia 76ers",86,15021,""
"2012-11-18","18:00","Brooklyn Nets",99,"Sacramento Kings",90,11965,""
"2012-11-18","19:00","Golden State Warriors",109,"Oklahoma City Thunder",119,18203,""
"2012-11-18","19:30","Boston Celtics",83,"Detroit Pistons",103,12214,""
"2012-11-18","21:00","Chicago Bulls",94,"Portland Trail Blazers",102,20242,""
"2012-11-18","21:30","Houston Rockets",108,"Los Angeles Lakers",119,18997,""
"2012-11-19","19:00","Milwaukee Bucks",98,"Charlotte Bobcats",102,11248,""
"2012-11-19","19:00","Indiana Pacers",96,"Washington Wizards",89,14426,""
"2012-11-19","19:30","Orlando Magic",72,"Atlanta Hawks",81,15066,""
"2012-11-19","20:00","Denver Nuggets",97,"Memphis Grizzlies",92,15111,""
"2012-11-19","20:30","Golden State Warriors",105,"Dallas Mavericks",101,20034,""
"2012-11-19","20:30","Los Angeles Clippers",92,"San Antonio Spurs",87,17920,""
"2012-11-19","21:00","Houston Rockets",91,"Utah Jazz",102,19197,""
"2012-11-20","19:00","Toronto Raptors",98,"Philadelphia 76ers",106,13965,""
"2012-11-20","20:00","New York Knicks",102,"New Orleans Hornets",80,13705,""
"2012-11-20","22:30","Brooklyn Nets",90,"Los Angeles Lakers",95,18997,""
"2012-11-21","19:00","Toronto Raptors",97,"Charlotte Bobcats",98,15240,""
"2012-11-21","19:00","Philadelphia 76ers",83,"Cleveland Cavaliers",92,16743,""
"2012-11-21","19:00","New Orleans Hornets",107,"Indiana Pacers",115,12633,""
"2012-11-21","19:00","Detroit Pistons",74,"Orlando Magic",90,17199,""
"2012-11-21","19:30","Washington Wizards",100,"Atlanta Hawks",101,11338,""
"2012-11-21","19:30","San Antonio Spurs",112,"Boston Celtics",100,18624,""
"2012-11-21","19:30","Milwaukee Bucks",106,"Miami Heat",113,19971,""
"2012-11-21","19:30","Los Angeles Clippers",111,"Oklahoma City Thunder",117,18203,""
"2012-11-21","20:00","Chicago Bulls",89,"Houston Rockets",93,15950,""
"2012-11-21","20:00","Denver Nuggets",101,"Minnesota Timberwolves",94,16879,""
"2012-11-21","20:30","New York Knicks",111,"Dallas Mavericks",114,20157,""
"2012-11-21","21:00","Portland Trail Blazers",87,"Phoenix Suns",114,14263,""
"2012-11-21","22:00","Los Angeles Lakers",97,"Sacramento Kings",113,15249,""
"2012-11-21","22:30","Brooklyn Nets",93,"Golden State Warriors",102,18374,""
"2012-11-23","19:00","Atlanta Hawks",101,"Charlotte Bobcats",91,17868,""
"2012-11-23","19:00","Cleveland Cavaliers",104,"Orlando Magic",108,17334,""
"2012-11-23","19:30","Oklahoma City Thunder",100,"Boston Celtics",108,18624,""
"2012-11-23","19:30","Los Angeles Clippers",76,"Brooklyn Nets",86,17732,""
"2012-11-23","19:30","Toronto Raptors",90,"Detroit Pistons",91,12778,""
"2012-11-23","20:00","New York Knicks",103,"Houston Rockets",131,18038,""
"2012-11-23","20:00","San Antonio Spurs",104,"Indiana Pacers",97,17082,""
"2012-11-23","20:00","Los Angeles Lakers",98,"Memphis Grizzlies",106,18119,""
"2012-11-23","21:00","Golden State Warriors",91,"Denver Nuggets",102,18523,""
"2012-11-23","21:00","New Orleans Hornets",108,"Phoenix Suns",111,14020,""
"2012-11-23","21:00","Sacramento Kings",102,"Utah Jazz",104,18000,""
"2012-11-23","22:00","Minnesota Timberwolves",95,"Portland Trail Blazers",103,20555,""
"2012-11-24","19:00","Los Angeles Clippers",93,"Atlanta Hawks",104,16024,""
"2012-11-24","19:00","Oklahoma City Thunder",116,"Philadelphia 76ers",109,19611,""
"2012-11-24","19:00","Charlotte Bobcats",108,"Washington Wizards",106,13077,""
"2012-11-24","19:30","Cleveland Cavaliers",108,"Miami Heat",110,20064,""
"2012-11-24","20:30","Los Angeles Lakers",115,"Dallas Mavericks",89,20423,""
"2012-11-24","21:00","Chicago Bulls",93,"Milwaukee Bucks",86,14812,""
"2012-11-24","22:00","Utah Jazz",97,"Sacramento Kings",108,12239,""
"2012-11-24","22:30","Minnesota Timberwolves",85,"Golden State Warriors",96,19084,""
"2012-11-25","13:00","Detroit Pistons",100,"New York Knicks",121,19033,""
"2012-11-25","13:00","San Antonio Spurs",111,"Toronto Raptors",106,19800,""
"2012-11-25","15:00","Portland Trail Blazers",85,"Brooklyn Nets",98,16542,""
"2012-11-25","18:00","Boston Celtics",116,"Orlando Magic",110,17037,""
"2012-11-25","18:00","Phoenix Suns",101,"Philadelphia 76ers",104,14518,""
"2012-11-25","20:00","New Orleans Hornets",84,"Denver Nuggets",102,15402,""
"2012-11-26","19:00","New York Knicks",89,"Brooklyn Nets",96,17732,""
"2012-11-26","19:00","San Antonio Spurs",118,"Washington Wizards",92,13879,""
"2012-11-26","19:30","Portland Trail Blazers",101,"Detroit Pistons",108,10212,""
"2012-11-26","20:00","Milwaukee Bucks",93,"Chicago Bulls",92,21485,""
"2012-11-26","20:00","Cleveland Cavaliers",78,"Memphis Grizzlies",84,13485,""
"2012-11-26","20:00","Charlotte Bobcats",69,"Oklahoma City Thunder",114,18203,""
"2012-11-26","21:00","Denver Nuggets",103,"Utah Jazz",105,18776,""
"2012-11-26","22:30","New Orleans Hornets",105,"Los Angeles Clippers",98,19060,""
"2012-11-27","19:00","Phoenix Suns",91,"Cleveland Cavaliers",78,13687,""
"2012-11-27","19:00","Dallas Mavericks",98,"Philadelphia 76ers",100,15107,""
"2012-11-27","20:00","Toronto Raptors",101,"Houston Rockets",117,12907,""
"2012-11-27","22:00","Minnesota Timberwolves",97,"Sacramento Kings",89,10741,""
"2012-11-27","22:30","Indiana Pacers",79,"Los Angeles Lakers",77,18997,""
"2012-11-28","19:00","San Antonio Spurs",110,"Orlando Magic",89,17271,""
"2012-11-28","19:00","Portland Trail Blazers",82,"Washington Wizards",84,14114,""
"2012-11-28","19:30","Charlotte Bobcats",91,"Atlanta Hawks",94,10162,""
"2012-11-28","19:30","Brooklyn Nets",95,"Boston Celtics",83,18624,""
"2012-11-28","19:30","Phoenix Suns",77,"Detroit Pistons",117,10517,""
"2012-11-28","20:00","Dallas Mavericks",78,"Chicago Bulls",101,21575,""
"2012-11-28","20:00","Toronto Raptors",82,"Memphis Grizzlies",103,14603,""
"2012-11-28","20:00","New York Knicks",102,"Milwaukee Bucks",88,11439,""
"2012-11-28","20:00","Utah Jazz",96,"New Orleans Hornets",84,10693,""
"2012-11-28","20:00","Houston Rockets",98,"Oklahoma City Thunder",120,18203,""
"2012-11-28","22:30","Minnesota Timberwolves",95,"Los Angeles Clippers",101,19060,""
"2012-11-29","20:00","San Antonio Spurs",100,"Miami Heat",105,19703,""
"2012-11-29","22:30","Denver Nuggets",105,"Golden State Warriors",106,17627,""
"2012-11-30","19:00","Philadelphia 76ers",104,"Charlotte Bobcats",98,13202,""
"2012-11-30","19:00","Brooklyn Nets",98,"Orlando Magic",86,17103,""
"2012-11-30","19:00","Phoenix Suns",97,"Toronto Raptors",101,18246,""
"2012-11-30","19:30","Cleveland Cavaliers",113,"Atlanta Hawks",111,13094,""
"2012-11-30","19:30","Portland Trail Blazers",78,"Boston Celtics",96,18624,""
"2012-11-30","19:30","Washington Wizards",87,"New York Knicks",108,19033,""
"2012-11-30","20:00","Detroit Pistons",78,"Memphis Grizzlies",90,16732,""
"2012-11-30","20:00","Milwaukee Bucks",85,"Minnesota Timberwolves",95,16418,""
"2012-11-30","20:00","Utah Jazz",94,"Oklahoma City Thunder",106,18203,""
"2012-11-30","22:00","Indiana Pacers",97,"Sacramento Kings",92,12544,""
"2012-11-30","22:30","Denver Nuggets",103,"Los Angeles Lakers",122,18997,""
