"Date","Start (ET)","Visitor/Neutral","Visitor/Neutral PTS","Home/Neutral","Home/Neutral PTS","Attendance","Notes"
"2017-01-01","18:00","San Antonio Spurs",112,"Atlanta Hawks",114,18088,""
"2017-01-01","18:00","Orlando Magic",104,"Indiana Pacers",117,17530,""
"2017-01-01","18:00","Detroit Pistons",107,"Miami Heat",98,19844,""
"2017-01-01","19:00","Portland Trail Blazers",95,"Minnesota Timberwolves",89,15804,""
"2017-01-01","21:30","Toronto Raptors",123,"Los Angeles Lakers",114,18997,""
"2017-01-02","19:00","New Orleans Pelicans",82,"Cleveland Cavaliers",90,20562,""
"2017-01-02","19:00","Oklahoma City Thunder",94,"Milwaukee Bucks",98,17423,""
"2017-01-02","19:30","Utah Jazz",101,"Brooklyn Nets",89,15634,""
"2017-01-02","19:30","Orlando Magic",115,"New York Knicks",103,19812,""
"2017-01-02","20:00","Charlotte Hornets",111,"Chicago Bulls",118,21612,""
"2017-01-02","20:00","Washington Wizards",91,"Houston Rockets",101,16569,""
"2017-01-02","22:30","Denver Nuggets",119,"Golden State Warriors",127,19596,""
"2017-01-02","22:30","Phoenix Suns",98,"Los Angeles Clippers",109,19060,""
"2017-01-03","19:00","Minnesota Timberwolves",91,"Philadelphia 76ers",93,17124,""
"2017-01-03","19:30","Utah Jazz",104,"Boston Celtics",115,18624,""
"2017-01-03","19:30","Indiana Pacers",121,"Detroit Pistons",116,13435,""
"2017-01-03","20:30","Washington Wizards",105,"Dallas Mavericks",113,19318,""
"2017-01-03","20:30","Toronto Raptors",82,"San Antonio Spurs",110,18418,""
"2017-01-03","21:00","Sacramento Kings",120,"Denver Nuggets",113,11018,""
"2017-01-03","21:00","Miami Heat",90,"Phoenix Suns",99,16772,""
"2017-01-03","22:30","Memphis Grizzlies",102,"Los Angeles Lakers",116,18997,""
"2017-01-04","19:00","Oklahoma City Thunder",112,"Charlotte Hornets",123,18418,""
"2017-01-04","19:00","Atlanta Hawks",111,"Orlando Magic",92,18846,""
"2017-01-04","19:30","Milwaukee Bucks",105,"New York Knicks",104,19812,""
"2017-01-04","20:00","Chicago Bulls",106,"Cleveland Cavaliers",94,20562,""
"2017-01-04","22:30","Portland Trail Blazers",117,"Golden State Warriors",125,19596,""
"2017-01-04","22:30","Memphis Grizzlies",106,"Los Angeles Clippers",115,19060,""
"2017-01-04","22:30","Miami Heat",107,"Sacramento Kings",102,17608,""
"2017-01-05","19:00","Brooklyn Nets",109,"Indiana Pacers",121,16421,""
"2017-01-05","19:30","Charlotte Hornets",114,"Detroit Pistons",115,13723,""
"2017-01-05","19:30","Utah Jazz",93,"Toronto Raptors",101,19800,""
"2017-01-05","20:00","Oklahoma City Thunder",116,"Houston Rockets",118,18055,""
"2017-01-05","20:00","Atlanta Hawks",99,"New Orleans Pelicans",94,15003,""
"2017-01-05","20:30","Phoenix Suns",102,"Dallas Mavericks",95,19570,""
"2017-01-05","21:00","San Antonio Spurs",127,"Denver Nuggets",99,14391,""
"2017-01-05","22:30","Los Angeles Lakers",109,"Portland Trail Blazers",118,19403,""
"2017-01-06","19:00","Houston Rockets",100,"Orlando Magic",93,19272,""
"2017-01-06","19:00","Minnesota Timberwolves",105,"Washington Wizards",112,18686,""
"2017-01-06","19:30","Philadelphia 76ers",106,"Boston Celtics",110,18624,""
"2017-01-06","19:30","Cleveland Cavaliers",116,"Brooklyn Nets",108,17732,""
"2017-01-06","20:00","New York Knicks",116,"Milwaukee Bucks",111,18717,""
"2017-01-06","22:30","Memphis Grizzlies",128,"Golden State Warriors",119,19596,""
"2017-01-06","22:30","Miami Heat",100,"Los Angeles Lakers",127,18997,""
"2017-01-06","22:30","Los Angeles Clippers",106,"Sacramento Kings",98,17608,""
"2017-01-07","19:00","New York Knicks",109,"Indiana Pacers",123,17367,""
"2017-01-07","19:30","New Orleans Pelicans",108,"Boston Celtics",117,18624,""
"2017-01-07","20:00","Toronto Raptors",118,"Chicago Bulls",123,21195,""
"2017-01-07","20:00","Utah Jazz",94,"Minnesota Timberwolves",92,13945,""
"2017-01-07","20:00","Denver Nuggets",106,"Oklahoma City Thunder",121,18203,""
"2017-01-07","20:30","Atlanta Hawks",97,"Dallas Mavericks",82,19655,""
"2017-01-07","20:30","Charlotte Hornets",85,"San Antonio Spurs",102,18418,""
"2017-01-08","12:00","Philadelphia 76ers",105,"Brooklyn Nets",95,16123,""
"2017-01-08","14:00","Washington Wizards",107,"Milwaukee Bucks",101,15311,""
"2017-01-08","15:30","Miami Heat",86,"Los Angeles Clippers",98,19060,""
"2017-01-08","18:00","Houston Rockets",129,"Toronto Raptors",122,19800,""
"2017-01-08","20:00","Utah Jazz",79,"Memphis Grizzlies",88,16112,""
"2017-01-08","20:30","Cleveland Cavaliers",120,"Phoenix Suns",116,18055,""
"2017-01-08","21:00","Detroit Pistons",125,"Portland Trail Blazers",124,13506,""
"2017-01-08","21:00","Golden State Warriors",117,"Sacramento Kings",106,17608,""
"2017-01-08","21:30","Orlando Magic",95,"Los Angeles Lakers",111,18997,""
"2017-01-09","19:30","New Orleans Pelicans",110,"New York Knicks",96,19812,""
"2017-01-09","20:00","Oklahoma City Thunder",109,"Chicago Bulls",94,21923,""
"2017-01-09","20:00","Dallas Mavericks",92,"Minnesota Timberwolves",101,9625,""
"2017-01-10","19:00","Chicago Bulls",99,"Washington Wizards",101,14361,""
"2017-01-10","19:30","Atlanta Hawks",117,"Brooklyn Nets",97,13279,""
"2017-01-10","19:30","Boston Celtics",106,"Toronto Raptors",114,19800,""
"2017-01-10","20:00","Charlotte Hornets",114,"Houston Rockets",121,16196,""
"2017-01-10","20:30","Milwaukee Bucks",109,"San Antonio Spurs",107,18418,""
"2017-01-10","21:00","Cleveland Cavaliers",92,"Utah Jazz",100,19911,""
"2017-01-10","22:30","Miami Heat",95,"Golden State Warriors",107,19596,""
"2017-01-10","22:30","Portland Trail Blazers",108,"Los Angeles Lakers",87,18483,""
"2017-01-10","22:30","Detroit Pistons",94,"Sacramento Kings",100,17608,""
"2017-01-11","19:00","New York Knicks",97,"Philadelphia 76ers",98,18755,""
"2017-01-11","20:00","Washington Wizards",108,"Boston Celtics",117,18624,""
"2017-01-11","20:00","Houston Rockets",105,"Minnesota Timberwolves",119,13858,""
"2017-01-11","20:00","Memphis Grizzlies",95,"Oklahoma City Thunder",103,18203,""
"2017-01-11","22:30","Orlando Magic",96,"Los Angeles Clippers",105,19060,""
"2017-01-11","22:30","Cleveland Cavaliers",86,"Portland Trail Blazers",102,19393,""
