"Date","Start (ET)","Visitor/Neutral","Visitor/Neutral PTS","Home/Neutral","Home/Neutral PTS","Attendance","Notes"
"2016-10-25","19:30","New York Knicks",88,"Cleveland Cavaliers",117,20562,""
"2016-10-25","22:00","Utah Jazz",104,"Portland Trail Blazers",113,19446,""
"2016-10-25","22:30","San Antonio Spurs",129,"Golden State Warriors",100,19596,""
"2016-10-26","19:00","Dallas Mavericks",121,"Indiana Pacers",130,17923,""
"2016-10-26","19:00","Miami Heat",108,"Orlando Magic",96,19298,""
"2016-10-26","19:30","Detroit Pistons",91,"Toronto Raptors",109,19800,""
"2016-10-26","19:30","Brooklyn Nets",117,"Boston Celtics",122,18624,""
"2016-10-26","20:00","Charlotte Hornets",107,"Milwaukee Bucks",96,18717,""
"2016-10-26","20:00","Denver Nuggets",107,"New Orleans Pelicans",102,15869,""
"2016-10-26","20:00","Minnesota Timberwolves",98,"Memphis Grizzlies",102,18119,""
"2016-10-26","20:00","Oklahoma City Thunder",103,"Philadelphia 76ers",97,20487,""
"2016-10-26","22:00","Sacramento Kings",113,"Phoenix Suns",94,18055,""
"2016-10-26","22:30","Houston Rockets",114,"Los Angeles Lakers",120,18997,""
"2016-10-27","19:30","Washington Wizards",99,"Atlanta Hawks",114,19049,""
"2016-10-27","20:00","Boston Celtics",99,"Chicago Bulls",105,21501,""
"2016-10-27","22:30","Los Angeles Clippers",114,"Portland Trail Blazers",106,19500,""
"2016-10-27","22:30","San Antonio Spurs",102,"Sacramento Kings",94,17608,""
"2016-10-28","19:00","Cleveland Cavaliers",94,"Toronto Raptors",91,19800,""
"2016-10-28","19:30","Indiana Pacers",94,"Brooklyn Nets",103,17732,""
"2016-10-28","19:30","Orlando Magic",82,"Detroit Pistons",108,19122,""
"2016-10-28","20:00","Phoenix Suns",110,"Oklahoma City Thunder",113,18203,""
"2016-10-28","20:00","Charlotte Hornets",97,"Miami Heat",91,19600,""
"2016-10-28","20:30","Houston Rockets",106,"Dallas Mavericks",98,20163,""
"2016-10-28","21:00","Los Angeles Lakers",89,"Utah Jazz",96,19911,""
"2016-10-28","21:30","Golden State Warriors",122,"New Orleans Pelicans",114,18217,""
"2016-10-29","12:30","Atlanta Hawks",104,"Philadelphia 76ers",72,16312,""
"2016-10-29","19:00","Boston Celtics",104,"Charlotte Hornets",98,18708,""
"2016-10-29","19:30","Orlando Magic",99,"Cleveland Cavaliers",105,20562,""
"2016-10-29","19:30","Memphis Grizzlies",104,"New York Knicks",111,19812,""
"2016-10-29","20:00","New Orleans Pelicans",79,"San Antonio Spurs",98,18418,""
"2016-10-29","20:00","Brooklyn Nets",108,"Milwaukee Bucks",110,12570,""
"2016-10-29","20:00","Indiana Pacers",101,"Chicago Bulls",118,21373,""
"2016-10-29","21:00","Portland Trail Blazers",115,"Denver Nuggets",113,18055,""
"2016-10-29","22:30","Minnesota Timberwolves",103,"Sacramento Kings",106,17608,""
"2016-10-30","16:30","Utah Jazz",75,"Los Angeles Clippers",88,19060,""
"2016-10-30","18:00","Milwaukee Bucks",83,"Detroit Pistons",98,15161,""
"2016-10-30","18:00","San Antonio Spurs",106,"Miami Heat",99,19678,""
"2016-10-30","18:00","Golden State Warriors",106,"Phoenix Suns",100,17011,""
"2016-10-30","19:00","Los Angeles Lakers",96,"Oklahoma City Thunder",113,18203,""
"2016-10-30","20:00","Dallas Mavericks",92,"Houston Rockets",93,18055,""
"2016-10-30","20:00","Washington Wizards",103,"Memphis Grizzlies",112,15573,""
"2016-10-31","19:30","Sacramento Kings",95,"Atlanta Hawks",106,12501,""
"2016-10-31","19:30","Chicago Bulls",118,"Brooklyn Nets",88,15842,""
"2016-10-31","19:30","Denver Nuggets",102,"Toronto Raptors",105,19800,""
"2016-10-31","22:30","Phoenix Suns",98,"Los Angeles Clippers",116,19060,""
