"Date","Start (ET)","Visitor/Neutral","Visitor/Neutral PTS","Home/Neutral","Home/Neutral PTS","Attendance","Notes"
"2016-03-01","19:00","Phoenix Suns",92,"Charlotte Hornets",126,16849,""
"2016-03-01","19:30","Chicago Bulls",111,"Miami Heat",129,19654,""
"2016-03-01","19:30","Portland Trail Blazers",104,"New York Knicks",85,19812,""
"2016-03-01","20:30","Orlando Magic",108,"Dallas Mavericks",121,19546,""
"2016-03-01","22:30","Atlanta Hawks",105,"Golden State Warriors",109,19596,""
"2016-03-01","22:30","Brooklyn Nets",101,"Los Angeles Lakers",107,18997,""
"2016-03-02","19:00","Chicago Bulls",89,"Orlando Magic",102,16072,""
"2016-03-02","19:00","Charlotte Hornets",119,"Philadelphia 76ers",99,11143,""
"2016-03-02","19:30","Portland Trail Blazers",93,"Boston Celtics",116,18624,""
"2016-03-02","19:30","Utah Jazz",94,"Toronto Raptors",104,19800,""
"2016-03-02","20:00","New Orleans Pelicans",95,"Houston Rockets",100,18226,""
"2016-03-02","20:00","Sacramento Kings",98,"Memphis Grizzlies",104,15310,""
"2016-03-02","20:00","Indiana Pacers",104,"Milwaukee Bucks",99,14263,""
"2016-03-02","20:00","Washington Wizards",104,"Minnesota Timberwolves",98,11307,""
"2016-03-02","20:00","Detroit Pistons",81,"San Antonio Spurs",97,18418,""
"2016-03-02","21:00","Los Angeles Lakers",107,"Denver Nuggets",117,20096,""
"2016-03-02","22:30","Oklahoma City Thunder",98,"Los Angeles Clippers",103,19304,""
"2016-03-03","19:30","Phoenix Suns",92,"Miami Heat",108,19600,""
"2016-03-03","20:00","San Antonio Spurs",94,"New Orleans Pelicans",86,17781,""
"2016-03-03","20:30","Sacramento Kings",104,"Dallas Mavericks",101,19910,""
"2016-03-03","22:30","Oklahoma City Thunder",106,"Golden State Warriors",121,19596,""
"2016-03-04","19:00","Indiana Pacers",101,"Charlotte Hornets",108,19099,""
"2016-03-04","19:00","Phoenix Suns",102,"Orlando Magic",84,17546,""
"2016-03-04","19:00","Miami Heat",112,"Philadelphia 76ers",102,17610,""
"2016-03-04","19:30","New York Knicks",104,"Boston Celtics",105,18624,""
"2016-03-04","19:30","Portland Trail Blazers",115,"Toronto Raptors",117,19800,""
"2016-03-04","20:00","Washington Wizards",83,"Cleveland Cavaliers",108,20562,""
"2016-03-04","20:00","Utah Jazz",88,"Memphis Grizzlies",94,17188,""
"2016-03-04","20:00","Minnesota Timberwolves",101,"Milwaukee Bucks",116,16366,""
"2016-03-04","21:00","Brooklyn Nets",121,"Denver Nuggets",120,14163,""
"2016-03-04","22:30","Atlanta Hawks",106,"Los Angeles Lakers",77,18997,""
"2016-03-05","19:00","Boston Celtics",103,"Cleveland Cavaliers",120,20562,""
"2016-03-05","19:00","Utah Jazz",106,"New Orleans Pelicans",94,16680,""
"2016-03-05","19:00","Detroit Pistons",89,"New York Knicks",102,19812,""
"2016-03-05","19:00","Indiana Pacers",100,"Washington Wizards",99,20356,""
"2016-03-05","20:00","Brooklyn Nets",118,"Minnesota Timberwolves",132,15987,""
"2016-03-05","20:30","Houston Rockets",100,"Chicago Bulls",108,22203,""
"2016-03-05","20:30","Sacramento Kings",94,"San Antonio Spurs",104,18418,""
"2016-03-05","22:30","Atlanta Hawks",107,"Los Angeles Clippers",97,19236,""
"2016-03-06","15:30","Golden State Warriors",95,"Los Angeles Lakers",112,18997,""
"2016-03-06","15:30","Oklahoma City Thunder",104,"Milwaukee Bucks",96,16565,""
"2016-03-06","16:00","Phoenix Suns",109,"Memphis Grizzlies",100,17291,""
"2016-03-06","17:00","Dallas Mavericks",114,"Denver Nuggets",116,14802,""
"2016-03-06","18:00","Portland Trail Blazers",103,"Detroit Pistons",123,18386,""
