"Date","Start (ET)","Visitor/Neutral","Visitor/Neutral PTS","Home/Neutral","Home/Neutral PTS","Attendance","Notes"
"2015-10-27","20:00","Cleveland Cavaliers",95,"Chicago Bulls",97,21957,""
"2015-10-27","20:00","Detroit Pistons",106,"Atlanta Hawks",94,19187,""
"2015-10-27","22:30","New Orleans Pelicans",95,"Golden State Warriors",111,19596,""
"2015-10-28","19:00","Washington Wizards",88,"Orlando Magic",87,18846,""
"2015-10-28","19:30","Philadelphia 76ers",95,"Boston Celtics",112,18624,""
"2015-10-28","19:30","Chicago Bulls",115,"Brooklyn Nets",100,17732,""
"2015-10-28","19:30","Utah Jazz",87,"Detroit Pistons",92,18434,""
"2015-10-28","19:30","Indiana Pacers",99,"Toronto Raptors",106,19800,""
"2015-10-28","19:30","Charlotte Hornets",94,"Miami Heat",104,19724,""
"2015-10-28","20:00","New York Knicks",122,"Milwaukee Bucks",97,18717,""
"2015-10-28","20:00","San Antonio Spurs",106,"Oklahoma City Thunder",112,18203,""
"2015-10-28","20:00","Cleveland Cavaliers",106,"Memphis Grizzlies",76,18119,""
"2015-10-28","20:00","Denver Nuggets",105,"Houston Rockets",85,18240,""
"2015-10-28","22:00","Dallas Mavericks",111,"Phoenix Suns",95,18055,""
"2015-10-28","22:00","New Orleans Pelicans",94,"Portland Trail Blazers",112,19393,""
"2015-10-28","22:00","Los Angeles Clippers",111,"Sacramento Kings",104,17458,""
"2015-10-28","22:30","Minnesota Timberwolves",112,"Los Angeles Lakers",111,18997,""
"2015-10-29","19:00","Memphis Grizzlies",112,"Indiana Pacers",103,18165,""
"2015-10-29","20:00","Atlanta Hawks",112,"New York Knicks",101,19812,""
"2015-10-29","22:30","Dallas Mavericks",88,"Los Angeles Clippers",104,19218,""
"2015-10-30","19:00","Miami Heat",92,"Cleveland Cavaliers",102,20562,""
"2015-10-30","19:00","Utah Jazz",99,"Philadelphia 76ers",71,17122,""
"2015-10-30","19:00","Oklahoma City Thunder",139,"Orlando Magic",136,18846,""
"2015-10-30","19:30","Toronto Raptors",113,"Boston Celtics",103,16898,""
"2015-10-30","19:30","Chicago Bulls",94,"Detroit Pistons",98,16035,""
"2015-10-30","20:00","Charlotte Hornets",94,"Atlanta Hawks",97,17024,""
"2015-10-30","20:00","Washington Wizards",118,"Milwaukee Bucks",113,13858,""
"2015-10-30","20:30","Brooklyn Nets",75,"San Antonio Spurs",102,18418,""
"2015-10-30","21:00","Minnesota Timberwolves",95,"Denver Nuggets",78,17660,""
"2015-10-30","21:30","Golden State Warriors",112,"Houston Rockets",92,18142,""
"2015-10-30","22:00","Los Angeles Lakers",114,"Sacramento Kings",132,17391,""
"2015-10-30","22:30","Portland Trail Blazers",92,"Phoenix Suns",110,18055,""
"2015-10-31","19:00","Utah Jazz",97,"Indiana Pacers",76,14412,""
"2015-10-31","19:00","New York Knicks",117,"Washington Wizards",110,20356,""
"2015-10-31","19:30","Golden State Warriors",134,"New Orleans Pelicans",120,18406,""
"2015-10-31","20:00","Brooklyn Nets",91,"Memphis Grizzlies",101,16013,""
"2015-10-31","22:00","Phoenix Suns",101,"Portland Trail Blazers",90,17906,""
"2015-10-31","22:30","Sacramento Kings",109,"Los Angeles Clippers",114,19060,""
