"Date","Start (ET)","Visitor/Neutral","Visitor/Neutral PTS","Home/Neutral","Home/Neutral PTS","Attendance","Notes"
"2016-06-02","21:00","Cleveland Cavaliers",89,"Golden State Warriors",104,19596,""
"2016-06-05","20:00","Cleveland Cavaliers",77,"Golden State Warriors",110,19596,""
"2016-06-08","21:00","Golden State Warriors",90,"Cleveland Cavaliers",120,20562,""
"2016-06-10","21:00","Golden State Warriors",108,"Cleveland Cavaliers",97,20562,""
"2016-06-13","21:00","Cleveland Cavaliers",112,"Golden State Warriors",97,19596,""
"2016-06-16","21:00","Golden State Warriors",101,"Cleveland Cavaliers",115,20562,""
"2016-06-19","20:00","Cleveland Cavaliers",93,"Golden State Warriors",89,19596,""
