"Date","Start (ET)","Visitor/Neutral","Visitor/Neutral PTS","Home/Neutral","Home/Neutral PTS","Attendance","Notes"
"2001-11-01","19:00","Dallas Mavericks",99,"Philadelphia 76ers",92,20230,""
"2001-11-01","20:00","Washington Wizards",98,"Atlanta Hawks",88,20072,""
"2001-11-01","20:00","Detroit Pistons",90,"Memphis Grizzlies",80,19405,""
"2001-11-01","20:30","Los Angeles Clippers",92,"Houston Rockets",98,9329,""
"2001-11-01","21:00","Milwaukee Bucks",102,"Denver Nuggets",101,18634,""
"2001-11-01","21:00","Los Angeles Lakers",105,"Utah Jazz",101,19539,""
"2001-11-01","22:00","San Antonio Spurs",108,"Seattle SuperSonics",114,15491,""
"2001-11-01","22:30","Phoenix Suns",107,"Golden State Warriors",101,14624,""
"2001-11-02","19:00","Orlando Magic",107,"Indiana Pacers",117,18345,""
"2001-11-02","19:00","Dallas Mavericks",92,"Toronto Raptors",109,19800,""
"2001-11-02","19:30","Chicago Bulls",82,"Boston Celtics",96,14361,""
"2001-11-02","19:30","New York Knicks",93,"Charlotte Hornets",97,13588,""
"2001-11-02","19:30","Cleveland Cavaliers",90,"Miami Heat",83,15208,""
"2001-11-02","20:00","New Jersey Nets",88,"Detroit Pistons",102,22076,""
"2001-11-02","20:00","Memphis Grizzlies",102,"Minnesota Timberwolves",111,16922,""
"2001-11-02","22:30","Phoenix Suns",94,"Los Angeles Lakers",117,18997,""
"2001-11-03","18:30","Philadelphia 76ers",76,"Washington Wizards",90,20674,""
"2001-11-03","19:00","Miami Heat",83,"Atlanta Hawks",90,9472,""
"2001-11-03","20:00","Charlotte Hornets",85,"New Jersey Nets",95,6532,""
"2001-11-03","20:30","New York Knicks",79,"Chicago Bulls",84,18064,""
"2001-11-03","20:30","Orlando Magic",99,"Cleveland Cavaliers",69,16930,""
"2001-11-03","20:30","Minnesota Timberwolves",90,"Houston Rockets",88,10724,""
"2001-11-03","20:30","Boston Celtics",99,"Milwaukee Bucks",105,18717,""
"2001-11-03","21:00","Sacramento Kings",106,"Denver Nuggets",94,15138,""
"2001-11-03","21:00","Utah Jazz",91,"Seattle SuperSonics",74,15370,""
"2001-11-03","22:00","San Antonio Spurs",106,"Portland Trail Blazers",90,19980,""
"2001-11-03","22:30","Golden State Warriors",110,"Los Angeles Clippers",108,19445,""
"2001-11-04","15:00","Dallas Mavericks",94,"Memphis Grizzlies",85,13177,""
"2001-11-04","17:30","Indiana Pacers",100,"Toronto Raptors",113,18825,""
"2001-11-04","19:00","Washington Wizards",78,"Detroit Pistons",100,22076,""
"2001-11-04","20:00","Houston Rockets",103,"Phoenix Suns",100,13562,""
"2001-11-04","21:00","Portland Trail Blazers",86,"Golden State Warriors",96,12724,""
"2001-11-04","21:00","San Antonio Spurs",83,"Sacramento Kings",103,17317,""
"2001-11-04","21:30","Utah Jazz",96,"Los Angeles Lakers",100,18997,""
"2001-11-05","19:30","Seattle SuperSonics",123,"Orlando Magic",119,13723,""
"2001-11-05","22:30","Atlanta Hawks",86,"Los Angeles Clippers",109,13722,""
"2001-11-06","19:00","Sacramento Kings",115,"Cleveland Cavaliers",99,14584,""
"2001-11-06","19:00","Indiana Pacers",87,"Philadelphia 76ers",77,20274,""
"2001-11-06","19:30","Seattle SuperSonics",85,"Miami Heat",87,16500,""
"2001-11-06","20:00","New York Knicks",94,"Minnesota Timberwolves",104,16444,""
"2001-11-06","20:00","Orlando Magic",89,"San Antonio Spurs",104,15927,""
"2001-11-06","20:30","Charlotte Hornets",92,"Dallas Mavericks",110,16905,""
"2001-11-06","20:30","Denver Nuggets",93,"Houston Rockets",99,9671,""
"2001-11-06","21:00","Memphis Grizzlies",101,"Phoenix Suns",113,12765,""
"2001-11-06","22:00","Utah Jazz",83,"Portland Trail Blazers",101,19980,""
"2001-11-07","19:00","Golden State Warriors",92,"Toronto Raptors",109,18887,""
"2001-11-07","19:30","Cleveland Cavaliers",64,"New York Knicks",82,19763,""
"2001-11-07","20:00","Washington Wizards",95,"Boston Celtics",104,18624,""
"2001-11-07","20:00","Sacramento Kings",104,"Indiana Pacers",116,15309,""
"2001-11-07","20:30","Detroit Pistons",97,"Chicago Bulls",73,17023,""
"2001-11-07","21:00","Atlanta Hawks",89,"Utah Jazz",96,17538,""
"2001-11-07","22:30","Memphis Grizzlies",92,"Los Angeles Clippers",108,13835,""
"2001-11-08","19:00","San Antonio Spurs",105,"Charlotte Hornets",95,9511,""
"2001-11-08","19:30","Seattle SuperSonics",94,"New Jersey Nets",106,5277,""
"2001-11-08","20:00","Miami Heat",82,"Milwaukee Bucks",86,18364,""
"2001-11-08","20:00","Chicago Bulls",74,"Minnesota Timberwolves",127,15719,""
"2001-11-08","20:30","Denver Nuggets",91,"Dallas Mavericks",105,17471,""
"2001-11-08","21:00","Philadelphia 76ers",72,"Houston Rockets",77,12351,""
"2001-11-08","21:00","Atlanta Hawks",80,"Phoenix Suns",108,13206,""
"2001-11-08","22:00","Los Angeles Clippers",101,"Portland Trail Blazers",119,19980,""
"2001-11-09","19:00","New York Knicks",95,"Indiana Pacers",103,16494,""
"2001-11-09","19:00","Golden State Warriors",109,"Washington Wizards",100,20674,""
"2001-11-09","19:30","Seattle SuperSonics",94,"Boston Celtics",104,15575,""
"2001-11-09","19:30","Sacramento Kings",105,"Orlando Magic",115,17248,""
"2001-11-09","21:00","Houston Rockets",81,"Denver Nuggets",108,11451,""
"2001-11-09","22:30","Memphis Grizzlies",86,"Los Angeles Lakers",110,18997,""
"2001-11-10","13:00","Cleveland Cavaliers",84,"New Jersey Nets",87,5631,""
"2001-11-10","15:30","Phoenix Suns",102,"Los Angeles Clippers",111,17111,""
"2001-11-10","19:30","Sacramento Kings",90,"Miami Heat",75,17853,""
"2001-11-10","19:30","Golden State Warriors",90,"New York Knicks",71,19763,""
"2001-11-10","20:00","Portland Trail Blazers",96,"Indiana Pacers",105,18345,""
"2001-11-10","20:30","Charlotte Hornets",89,"Chicago Bulls",85,20406,""
"2001-11-10","20:30","Philadelphia 76ers",98,"Dallas Mavericks",91,19857,""
"2001-11-10","20:30","Minnesota Timberwolves",98,"Milwaukee Bucks",82,18717,""
"2001-11-10","20:30","Atlanta Hawks",88,"San Antonio Spurs",110,20403,""
"2001-11-10","21:00","Toronto Raptors",117,"Utah Jazz",96,18194,""
"2001-11-11","13:00","Seattle SuperSonics",99,"Washington Wizards",84,20674,""
"2001-11-11","18:00","Portland Trail Blazers",100,"Detroit Pistons",98,13671,""
"2001-11-11","21:00","Toronto Raptors",85,"Denver Nuggets",96,13735,""
"2001-11-11","21:30","Orlando Magic",95,"Los Angeles Lakers",108,18997,""
"2001-11-12","20:00","Golden State Warriors",86,"Memphis Grizzlies",79,11126,""
"2001-11-12","21:00","Orlando Magic",98,"Utah Jazz",105,18135,""
"2001-11-13","19:00","New Jersey Nets",91,"Indiana Pacers",82,15188,""
"2001-11-13","19:30","Philadelphia 76ers",82,"Miami Heat",76,15465,""
"2001-11-13","19:30","Portland Trail Blazers",82,"New York Knicks",89,19763,""
"2001-11-13","20:00","Cleveland Cavaliers",107,"Minnesota Timberwolves",103,13605,""
"2001-11-13","20:00","Toronto Raptors",86,"Sacramento Kings",95,17317,""
"2001-11-13","20:30","Houston Rockets",86,"San Antonio Spurs",90,15643,""
"2001-11-13","21:00","Chicago Bulls",93,"Denver Nuggets",101,11307,""
"2001-11-13","22:00","Phoenix Suns",92,"Seattle SuperSonics",91,10880,""
"2001-11-14","19:00","Indiana Pacers",93,"Boston Celtics",101,14081,""
"2001-11-14","19:00","Dallas Mavericks",107,"Cleveland Cavaliers",94,12414,""
"2001-11-14","19:00","Charlotte Hornets",86,"Philadelphia 76ers",100,20153,""
"2001-11-14","19:00","Milwaukee Bucks",107,"Washington Wizards",98,20674,""
"2001-11-14","19:30","Utah Jazz",79,"Atlanta Hawks",111,8558,""
"2001-11-14","20:00","Orlando Magic",93,"Phoenix Suns",92,17393,""
"2001-11-14","22:30","Toronto Raptors",89,"Golden State Warriors",82,18269,""
"2001-11-14","22:30","Chicago Bulls",102,"Los Angeles Clippers",106,14788,""
"2001-11-15","19:30","Dallas Mavericks",89,"Detroit Pistons",115,13445,""
"2001-11-15","19:30","Miami Heat",74,"New York Knicks",83,19763,""
"2001-11-15","20:00","Portland Trail Blazers",101,"Memphis Grizzlies",85,10161,""
"2001-11-15","21:00","Orlando Magic",101,"Denver Nuggets",82,12015,""
"2001-11-15","21:00","Los Angeles Lakers",98,"Houston Rockets",97,16285,""
"2001-11-16","19:00","Minnesota Timberwolves",120,"Indiana Pacers",113,17097,""
"2001-11-16","19:00","Atlanta Hawks",78,"Philadelphia 76ers",98,20424,""
"2001-11-16","19:00","Utah Jazz",101,"Washington Wizards",92,20674,""
"2001-11-16","19:30","Charlotte Hornets",96,"Miami Heat",87,15322,""
"2001-11-16","19:30","New York Knicks",83,"New Jersey Nets",109,15638,""
"2001-11-16","20:30","Cleveland Cavaliers",91,"San Antonio Spurs",105,19222,""
"2001-11-16","21:00","Los Angeles Lakers",83,"Phoenix Suns",95,19023,""
"2001-11-16","22:00","Chicago Bulls",71,"Sacramento Kings",105,17317,""
"2001-11-16","22:00","Golden State Warriors",91,"Seattle SuperSonics",100,11714,""
"2001-11-16","22:30","Toronto Raptors",94,"Los Angeles Clippers",85,18964,""
"2001-11-17","19:00","Boston Celtics",103,"Atlanta Hawks",112,10563,""
"2001-11-17","19:30","Portland Trail Blazers",97,"Charlotte Hornets",87,10724,""
"2001-11-17","19:30","Indiana Pacers",98,"Detroit Pistons",104,22076,""
"2001-11-17","20:00","Cleveland Cavaliers",93,"Memphis Grizzlies",98,13874,""
"2001-11-17","20:00","Orlando Magic",95,"Minnesota Timberwolves",103,19479,""
"2001-11-17","20:00","Philadelphia 76ers",94,"New Jersey Nets",82,17318,""
"2001-11-17","20:30","Dallas Mavericks",87,"Houston Rockets",124,11978,""
"2001-11-17","20:30","Utah Jazz",93,"Milwaukee Bucks",104,18717,""
"2001-11-17","22:30","Chicago Bulls",88,"Golden State Warriors",93,13076,""
"2001-11-17","22:30","Denver Nuggets",103,"Seattle SuperSonics",93,11992,""
"2001-11-18","15:30","New York Knicks",86,"Los Angeles Clippers",99,17334,""
"2001-11-18","20:00","Toronto Raptors",87,"Phoenix Suns",81,14823,""
"2001-11-18","21:30","Sacramento Kings",85,"Los Angeles Lakers",93,18997,""
"2001-11-19","21:00","New Jersey Nets",96,"Denver Nuggets",99,11319,""
"2001-11-19","22:00","Houston Rockets",77,"Sacramento Kings",113,17317,""
"2001-11-20","18:30","Detroit Pistons",88,"Toronto Raptors",84,19800,""
"2001-11-20","19:00","Atlanta Hawks",102,"Indiana Pacers",106,15278,""
"2001-11-20","20:00","Minnesota Timberwolves",80,"Miami Heat",73,15226,""
"2001-11-20","20:00","Charlotte Hornets",95,"Washington Wizards",88,20674,""
"2001-11-20","20:30","Seattle SuperSonics",105,"Dallas Mavericks",97,18949,""
"2001-11-20","22:00","Houston Rockets",94,"Portland Trail Blazers",87,18210,""
"2001-11-20","22:30","New York Knicks",94,"Golden State Warriors",70,16320,""
"2001-11-20","22:30","Los Angeles Lakers",98,"Los Angeles Clippers",93,20316,""
"2001-11-21","19:00","Atlanta Hawks",92,"Boston Celtics",85,13500,""
"2001-11-21","19:00","Dallas Mavericks",89,"Charlotte Hornets",78,8932,""
"2001-11-21","19:00","Memphis Grizzlies",94,"Cleveland Cavaliers",101,10804,""
"2001-11-21","19:00","Detroit Pistons",89,"Philadelphia 76ers",94,20315,""
"2001-11-21","19:30","Minnesota Timberwolves",106,"Orlando Magic",117,15014,""
"2001-11-21","20:00","Chicago Bulls",92,"Milwaukee Bucks",96,18717,""
"2001-11-21","20:30","Seattle SuperSonics",93,"San Antonio Spurs",110,18163,""
"2001-11-21","21:00","Los Angeles Lakers",89,"Denver Nuggets",68,19521,""
"2001-11-21","21:00","New York Knicks",72,"Phoenix Suns",96,15740,""
"2001-11-21","21:00","New Jersey Nets",90,"Utah Jazz",89,17413,""
"2001-11-21","22:00","Portland Trail Blazers",83,"Sacramento Kings",95,17317,""
"2001-11-22","20:00","Washington Wizards",103,"Indiana Pacers",110,18345,""
"2001-11-22","20:00","Milwaukee Bucks",78,"Toronto Raptors",75,19800,""
"2001-11-22","22:30","New Jersey Nets",95,"Los Angeles Clippers",90,13172,""
"2001-11-23","19:00","Cleveland Cavaliers",68,"Philadelphia 76ers",79,20691,""
"2001-11-23","19:30","Detroit Pistons",99,"Atlanta Hawks",106,10717,""
"2001-11-23","19:30","Toronto Raptors",91,"Boston Celtics",89,18624,""
"2001-11-23","19:30","Orlando Magic",109,"Charlotte Hornets",99,12097,""
"2001-11-23","19:30","Dallas Mavericks",104,"Miami Heat",94,15486,""
"2001-11-23","20:00","San Antonio Spurs",97,"Indiana Pacers",79,18345,""
"2001-11-23","20:00","Phoenix Suns",103,"Memphis Grizzlies",89,16308,""
"2001-11-23","21:00","Los Angeles Clippers",101,"Utah Jazz",106,17942,""
"2001-11-23","22:00","Denver Nuggets",90,"Portland Trail Blazers",97,19479,""
"2001-11-23","22:00","Houston Rockets",81,"Seattle SuperSonics",99,12838,""
"2001-11-23","22:30","Golden State Warriors",90,"Los Angeles Lakers",106,18997,""
"2001-11-24","13:00","Chicago Bulls",71,"New York Knicks",78,19763,""
"2001-11-24","19:00","Boston Celtics",84,"Washington Wizards",88,20674,""
"2001-11-24","19:30","Miami Heat",96,"Cleveland Cavaliers",100,14051,""
"2001-11-24","19:30","Memphis Grizzlies",84,"Detroit Pistons",91,15256,""
"2001-11-24","19:30","Charlotte Hornets",103,"Orlando Magic",101,14003,""
"2001-11-24","20:00","San Antonio Spurs",94,"Minnesota Timberwolves",99,19006,""
"2001-11-24","20:30","Phoenix Suns",104,"Dallas Mavericks",119,19869,""
"2001-11-24","21:00","Atlanta Hawks",88,"Milwaukee Bucks",95,18717,""
