Date,Visitor/Neutral,PTS_1,Home/Neutral,PTS_2,_1,_2,Attend.,Notes
"Thu, Dec 1, 1988",Washington Bullets,115,Atlanta Hawks,127,Box Score,,"12,279",
"Thu, Dec 1, 1988",Philadelphia 76ers,107,Charlotte Hornets,109,Box Score,,"21,716",
"Thu, Dec 1, 1988",Cleveland Cavaliers,99,Milwaukee Bucks,96,Box Score,,"14,215",
"Thu, Dec 1, 1988",Denver Nuggets,133,Sacramento Kings,126,Box Score,OT,"16,517",
"Fri, Dec 2, 1988",Boston Celtics,84,Cleveland Cavaliers,112,Box Score,,"19,148",
"Fri, Dec 2, 1988",New York Knicks,104,Dallas Mavericks,101,Box Score,,"17,007",
"Fri, Dec 2, 1988",Golden State Warriors,102,Denver Nuggets,129,Box Score,,"12,922",
"Fri, Dec 2, 1988",Utah Jazz,92,Los Angeles Lakers,113,Box Score,,"17,505",
"Fri, Dec 2, 1988",Portland Trail Blazers,105,Miami Heat,102,Box Score,,"15,008",
"Fri, Dec 2, 1988",Milwaukee Bucks,103,New Jersey Nets,92,Box Score,,,
"Fri, Dec 2, 1988",Houston Rockets,95,Phoenix Suns,110,Box Score,,,
"Fri, Dec 2, 1988",Los Angeles Clippers,104,Seattle SuperSonics,154,Box Score,,,
"Fri, Dec 2, 1988",Detroit Pistons,120,Washington Bullets,114,Box Score,,"12,606",
"Sat, Dec 3, 1988",Portland Trail Blazers,97,Atlanta Hawks,115,Box Score,,"16,371",
"Sat, Dec 3, 1988",Chicago Bulls,113,Dallas Mavericks,100,Box Score,,"17,007",
"Sat, Dec 3, 1988",Charlotte Hornets,104,Houston Rockets,108,Box Score,,"16,611",
"Sat, Dec 3, 1988",Philadelphia 76ers,107,Indiana Pacers,100,Box Score,,"10,522",
"Sat, Dec 3, 1988",Los Angeles Clippers,106,Phoenix Suns,114,Box Score,OT,,
"Sat, Dec 3, 1988",Utah Jazz,107,Sacramento Kings,73,Box Score,,"16,517",
"Sat, Dec 3, 1988",New York Knicks,109,San Antonio Spurs,122,Box Score,,"12,826",
"Sat, Dec 3, 1988",Golden State Warriors,106,Seattle SuperSonics,136,Box Score,,"10,571",
"Sun, Dec 4, 1988",Denver Nuggets,103,Cleveland Cavaliers,122,Box Score,,"12,223",
"Sun, Dec 4, 1988",Washington Bullets,112,Los Angeles Lakers,119,Box Score,OT,"17,505",
"Sun, Dec 4, 1988",Detroit Pistons,102,New Jersey Nets,99,Box Score,,"12,517",
"Tue, Dec 6, 1988",Sacramento Kings,113,Atlanta Hawks,123,Box Score,,"11,070",
"Tue, Dec 6, 1988",Boston Celtics,100,Chicago Bulls,105,Box Score,,"18,008",
"Tue, Dec 6, 1988",Utah Jazz,103,Golden State Warriors,114,Box Score,,"13,043",
"Tue, Dec 6, 1988",Cleveland Cavaliers,105,Houston Rockets,106,Box Score,,"16,611",
"Tue, Dec 6, 1988",Los Angeles Lakers,111,Los Angeles Clippers,102,Box Score,,"15,352",
"Tue, Dec 6, 1988",Detroit Pistons,84,Milwaukee Bucks,109,Box Score,,"15,619",
"Tue, Dec 6, 1988",Portland Trail Blazers,97,New Jersey Nets,93,Box Score,,,
"Tue, Dec 6, 1988",Denver Nuggets,123,New York Knicks,124,Box Score,OT,"17,104",
"Tue, Dec 6, 1988",Washington Bullets,92,Phoenix Suns,130,Box Score,,,
"Tue, Dec 6, 1988",Seattle SuperSonics,112,San Antonio Spurs,107,Box Score,,,
"Wed, Dec 7, 1988",Atlanta Hawks,106,Boston Celtics,103,Box Score,,"14,890",
"Wed, Dec 7, 1988",Seattle SuperSonics,98,Dallas Mavericks,102,Box Score,,"17,007",
"Wed, Dec 7, 1988",Chicago Bulls,89,Detroit Pistons,102,Box Score,,"21,454",
"Wed, Dec 7, 1988",Portland Trail Blazers,120,Indiana Pacers,129,Box Score,,,
"Wed, Dec 7, 1988",Phoenix Suns,111,Los Angeles Lakers,125,Box Score,,"17,353",
"Wed, Dec 7, 1988",Sacramento Kings,96,Miami Heat,94,Box Score,,"15,008",
