Date,Visitor/Neutral,PTS_1,Home/Neutral,PTS_2,_1,_2,Attend.,Notes
"Wed, Nov 5, 1997",Atlanta Hawks,93,Philadelphia 76ers,88,Box Score,,"13,624",
"Wed, Nov 5, 1997",Vancouver Grizzlies,79,San Antonio Spurs,87,Box Score,,"14,523",
"Thu, Nov 6, 1997",Philadelphia 76ers,93,Milwaukee Bucks,100,Box Score,,"13,851",
"Thu, Nov 6, 1997",New York Knicks,105,Phoenix Suns,75,Box Score,,"19,023",
"Thu, Nov 6, 1997",Seattle SuperSonics,109,Toronto Raptors,92,Box Score,,"15,459",
"Fri, Nov 7, 1997",Chicago Bulls,78,Atlanta Hawks,80,Box Score,,"45,790",
"Fri, Nov 7, 1997",Cleveland Cavaliers,96,Boston Celtics,92,Box Score,,"16,967",
"Fri, Nov 7, 1997",Utah Jazz,91,Denver Nuggets,89,Box Score,,"10,317",
"Fri, Nov 7, 1997",Orlando Magic,89,Detroit Pistons,84,Box Score,,"22,076",
"Fri, Nov 7, 1997",Portland Trail Blazers,86,Houston Rockets,85,Box Score,,"16,285",
"Fri, Nov 7, 1997",Seattle SuperSonics,99,Indiana Pacers,93,Box Score,,"15,226",
"Fri, Nov 7, 1997",New York Knicks,94,Los Angeles Lakers,99,Box Score,,"17,505",
"Fri, Nov 7, 1997",Miami Heat,87,New Jersey Nets,99,Box Score,,"18,231",
"Fri, Nov 7, 1997",Los Angeles Clippers,98,Sacramento Kings,85,Box Score,,"15,858",
"Fri, Nov 7, 1997",Minnesota Timberwolves,108,Vancouver Grizzlies,97,Box Score,,"15,302",
"Fri, Nov 7, 1997",Charlotte Hornets,107,Washington Wizards,92,Box Score,,"18,756","at Landover, MD"
"Sat, Nov 8, 1997",Indiana Pacers,82,Charlotte Hornets,89,Box Score,,"24,042",
"Sat, Nov 8, 1997",New Jersey Nets,86,Chicago Bulls,99,Box Score,,"23,898",
"Sat, Nov 8, 1997",Atlanta Hawks,99,Cleveland Cavaliers,97,Box Score,OT,"14,356",
"Sat, Nov 8, 1997",Portland Trail Blazers,101,Dallas Mavericks,94,Box Score,,"11,162",
"Sat, Nov 8, 1997",Minnesota Timberwolves,97,Golden State Warriors,90,Box Score,,"19,283",
"Sat, Nov 8, 1997",Phoenix Suns,123,Los Angeles Clippers,105,Box Score,,"12,906","at Anaheim, CA"
"Sat, Nov 8, 1997",Washington Wizards,106,Miami Heat,114,Box Score,,"14,859",
"Sat, Nov 8, 1997",Boston Celtics,96,Milwaukee Bucks,105,Box Score,,"17,653",
"Sat, Nov 8, 1997",Toronto Raptors,87,Orlando Magic,96,Box Score,,"17,248",
"Sat, Nov 8, 1997",Utah Jazz,80,San Antonio Spurs,87,Box Score,,"19,100",
"Sun, Nov 9, 1997",Golden State Warriors,97,Los Angeles Lakers,132,Box Score,,"14,623",
"Sun, Nov 9, 1997",Seattle SuperSonics,112,Philadelphia 76ers,105,Box Score,,"16,457",
"Sun, Nov 9, 1997",New York Knicks,78,Sacramento Kings,86,Box Score,,"15,046",
"Sun, Nov 9, 1997",Detroit Pistons,96,Vancouver Grizzlies,104,Box Score,OT,"14,925",
"Mon, Nov 10, 1997",Detroit Pistons,82,Portland Trail Blazers,86,Box Score,,"20,411",
"Mon, Nov 10, 1997",San Antonio Spurs,100,Toronto Raptors,98,Box Score,,"18,174",
"Tue, Nov 11, 1997",Seattle SuperSonics,87,Atlanta Hawks,89,Box Score,,"18,122",
"Tue, Nov 11, 1997",Chicago Bulls,80,Cleveland Cavaliers,101,Box Score,,"20,562",
"Tue, Nov 11, 1997",Los Angeles Lakers,118,Dallas Mavericks,96,Box Score,,"13,722",
"Tue, Nov 11, 1997",Sacramento Kings,82,Miami Heat,101,Box Score,,"14,603",
"Tue, Nov 11, 1997",San Antonio Spurs,93,Minnesota Timberwolves,92,Box Score,,"14,593",
"Tue, Nov 11, 1997",Denver Nuggets,90,New York Knicks,93,Box Score,,"19,763",
"Tue, Nov 11, 1997",Los Angeles Clippers,113,Vancouver Grizzlies,119,Box Score,,"15,160",
"Wed, Nov 12, 1997",Denver Nuggets,86,Boston Celtics,96,Box Score,,"15,760",
"Wed, Nov 12, 1997",Washington Wizards,90,Chicago Bulls,83,Box Score,,"23,749",
"Wed, Nov 12, 1997",Detroit Pistons,102,Golden State Warriors,71,Box Score,,"10,629",
"Wed, Nov 12, 1997",Philadelphia 76ers,114,Houston Rockets,100,Box Score,,"16,285",
"Wed, Nov 12, 1997",Atlanta Hawks,89,Indiana Pacers,86,Box Score,,"13,400",
"Wed, Nov 12, 1997",Sacramento Kings,115,Orlando Magic,89,Box Score,,"16,614",
"Wed, Nov 12, 1997",Milwaukee Bucks,95,Phoenix Suns,103,Box Score,,"19,023",
"Wed, Nov 12, 1997",New York Knicks,93,Toronto Raptors,70,Box Score,,"18,143",
"Wed, Nov 12, 1997",Vancouver Grizzlies,80,Utah Jazz,98,Box Score,,"19,851",
"Thu, Nov 13, 1997",Philadelphia 76ers,99,Dallas Mavericks,98,Box Score,,"11,084",
"Thu, Nov 13, 1997",Milwaukee Bucks,102,Los Angeles Clippers,94,Box Score,,"4,300",
"Thu, Nov 13, 1997",Washington Wizards,91,Minnesota Timberwolves,88,Box Score,OT,"16,491",
"Thu, Nov 13, 1997",Cleveland Cavaliers,85,New Jersey Nets,74,Box Score,,"14,235",
"Thu, Nov 13, 1997",Los Angeles Lakers,109,San Antonio Spurs,100,Box Score,OT,"20,557",
"Thu, Nov 13, 1997",Detroit Pistons,89,Seattle SuperSonics,95,Box Score,,"17,072",
"Fri, Nov 14, 1997",Sacramento Kings,103,Atlanta Hawks,104,Box Score,,"21,529",
"Fri, Nov 14, 1997",Toronto Raptors,99,Boston Celtics,103,Box Score,,"17,224",
"Fri, Nov 14, 1997",Charlotte Hornets,92,Chicago Bulls,105,Box Score,,"23,894",
"Fri, Nov 14, 1997",Los Angeles Lakers,113,Houston Rockets,103,Box Score,2OT,"16,285",
"Fri, Nov 14, 1997",Miami Heat,78,Indiana Pacers,82,Box Score,,"13,794",
"Fri, Nov 14, 1997",Denver Nuggets,85,Orlando Magic,103,Box Score,,"16,551",
"Fri, Nov 14, 1997",Phoenix Suns,140,Portland Trail Blazers,139,Box Score,4OT,"21,057",
"Fri, Nov 14, 1997",Seattle SuperSonics,104,Utah Jazz,110,Box Score,,"19,830",
"Sat, Nov 15, 1997",Los Angeles Clippers,96,Charlotte Hornets,130,Box Score,,"24,042",
"Sat, Nov 15, 1997",Cleveland Cavaliers,70,Chicago Bulls,79,Box Score,,"23,906",
"Sat, Nov 15, 1997",Utah Jazz,85,Dallas Mavericks,77,Box Score,,"14,323",
"Sat, Nov 15, 1997",New Jersey Nets,88,Detroit Pistons,96,Box Score,OT,"19,191",
"Sat, Nov 15, 1997",Portland Trail Blazers,99,Golden State Warriors,87,Box Score,,"10,395",
"Sat, Nov 15, 1997",Denver Nuggets,93,Miami Heat,96,Box Score,,"14,893",
"Sat, Nov 15, 1997",Sacramento Kings,87,New York Knicks,114,Box Score,,"19,763",
"Sat, Nov 15, 1997",Boston Celtics,107,Philadelphia 76ers,101,Box Score,,"14,127",
"Sat, Nov 15, 1997",Minnesota Timberwolves,105,San Antonio Spurs,94,Box Score,,"17,410",
"Sat, Nov 15, 1997",Indiana Pacers,105,Toronto Raptors,77,Box Score,,"17,188",
"Sat, Nov 15, 1997",Milwaukee Bucks,94,Vancouver Grizzlies,109,Box Score,,"17,666",
"Sat, Nov 15, 1997",Orlando Magic,102,Washington Wizards,91,Box Score,,"18,756","at Landover, MD"
"Sun, Nov 16, 1997",Los Angeles Clippers,83,Atlanta Hawks,89,Box Score,,"8,388","at Atlanta, GA (Alexander Memorial Coliseum at McDonald's Center)"
"Sun, Nov 16, 1997",New Jersey Nets,77,Cleveland Cavaliers,72,Box Score,,"12,860",
"Sun, Nov 16, 1997",Vancouver Grizzlies,95,Los Angeles Lakers,121,Box Score,,"17,139",
"Sun, Nov 16, 1997",Houston Rockets,94,Phoenix Suns,96,Box Score,,"19,023",
"Sun, Nov 16, 1997",Milwaukee Bucks,99,Seattle SuperSonics,119,Box Score,,"17,072",
"Mon, Nov 17, 1997",Dallas Mavericks,75,Portland Trail Blazers,120,Box Score,,"20,033",
"Tue, Nov 18, 1997",Washington Wizards,89,Atlanta Hawks,98,Box Score,OT,"12,809",
"Tue, Nov 18, 1997",Vancouver Grizzlies,100,Denver Nuggets,87,Box Score,,"9,718",
"Tue, Nov 18, 1997",New York Knicks,84,Houston Rockets,95,Box Score,,"16,285",
"Tue, Nov 18, 1997",Detroit Pistons,79,Milwaukee Bucks,87,Box Score,,"13,065",
"Tue, Nov 18, 1997",Los Angeles Clippers,94,Orlando Magic,112,Box Score,,"16,435",
"Tue, Nov 18, 1997",Minnesota Timberwolves,108,Phoenix Suns,90,Box Score,,"19,023",
"Tue, Nov 18, 1997",Dallas Mavericks,95,Sacramento Kings,102,Box Score,,"12,665",
"Tue, Nov 18, 1997",Boston Celtics,122,Toronto Raptors,109,Box Score,,"16,343",
"Tue, Nov 18, 1997",Los Angeles Lakers,97,Utah Jazz,92,Box Score,,"19,911",
"Wed, Nov 19, 1997",Portland Trail Blazers,92,Charlotte Hornets,106,Box Score,,"24,042",
"Wed, Nov 19, 1997",Orlando Magic,96,Cleveland Cavaliers,93,Box Score,OT,"13,404",
"Wed, Nov 19, 1997",Minnesota Timberwolves,93,Los Angeles Lakers,118,Box Score,,"17,505",
"Wed, Nov 19, 1997",Los Angeles Clippers,113,Miami Heat,122,Box Score,,"14,311",
"Wed, Nov 19, 1997",Boston Celtics,100,New Jersey Nets,108,Box Score,,"15,449",
"Wed, Nov 19, 1997",Washington Wizards,86,Philadelphia 76ers,97,Box Score,,"14,170",
"Wed, Nov 19, 1997",Golden State Warriors,87,San Antonio Spurs,108,Box Score,,"15,326",
"Wed, Nov 19, 1997",Vancouver Grizzlies,87,Seattle SuperSonics,107,Box Score,,"17,072",
"Thu, Nov 20, 1997",New York Knicks,100,Atlanta Hawks,79,Box Score,,"21,366",
"Thu, Nov 20, 1997",Golden State Warriors,101,Dallas Mavericks,97,Box Score,OT,"14,042",
"Thu, Nov 20, 1997",Portland Trail Blazers,93,Detroit Pistons,87,Box Score,,"16,205",
"Thu, Nov 20, 1997",Toronto Raptors,97,Houston Rockets,127,Box Score,,"16,285",
"Thu, Nov 20, 1997",Indiana Pacers,109,Milwaukee Bucks,83,Box Score,,"14,106",
"Thu, Nov 20, 1997",Chicago Bulls,85,Phoenix Suns,89,Box Score,,"19,023",
"Thu, Nov 20, 1997",Utah Jazz,95,Sacramento Kings,97,Box Score,,"14,648",
"Fri, Nov 21, 1997",New Jersey Nets,93,Boston Celtics,101,Box Score,,"18,624",
"Fri, Nov 21, 1997",Miami Heat,102,Charlotte Hornets,119,Box Score,,"24,042",
"Fri, Nov 21, 1997",Chicago Bulls,111,Los Angeles Clippers,102,Box Score,2OT,"16,199",
"Fri, Nov 21, 1997",Cleveland Cavaliers,103,Minnesota Timberwolves,80,Box Score,,"17,002",
"Fri, Nov 21, 1997",San Antonio Spurs,74,Seattle SuperSonics,94,Box Score,,"17,072",
"Fri, Nov 21, 1997",Denver Nuggets,96,Vancouver Grizzlies,99,Box Score,,"15,988",
"Fri, Nov 21, 1997",New York Knicks,104,Washington Wizards,82,Box Score,,"18,756","at Landover, MD"
"Sat, Nov 22, 1997",Washington Wizards,101,Cleveland Cavaliers,110,Box Score,,"16,196",
"Sat, Nov 22, 1997",Milwaukee Bucks,83,Dallas Mavericks,62,Box Score,,"11,425",
"Sat, Nov 22, 1997",Seattle SuperSonics,84,Denver Nuggets,80,Box Score,,"12,022",
"Sat, Nov 22, 1997",Atlanta Hawks,85,Detroit Pistons,87,Box Score,,"18,481",
"Sat, Nov 22, 1997",Golden State Warriors,84,Houston Rockets,90,Box Score,,"16,285",
"Sat, Nov 22, 1997",Charlotte Hornets,95,Indiana Pacers,94,Box Score,,"15,802",
"Sat, Nov 22, 1997",Toronto Raptors,104,Miami Heat,108,Box Score,,"14,381",
"Sat, Nov 22, 1997",Portland Trail Blazers,87,New Jersey Nets,93,Box Score,,"18,543",
"Sat, Nov 22, 1997",Orlando Magic,108,Philadelphia 76ers,94,Box Score,,"14,424",
"Sat, Nov 22, 1997",San Antonio Spurs,74,Utah Jazz,103,Box Score,,"19,911",
"Sun, Nov 23, 1997",Detroit Pistons,86,Boston Celtics,90,Box Score,,"17,070",
"Sun, Nov 23, 1997",Los Angeles Clippers,102,Los Angeles Lakers,119,Box Score,,"17,505",
"Sun, Nov 23, 1997",Vancouver Grizzlies,84,New York Knicks,104,Box Score,,"19,763",
"Sun, Nov 23, 1997",Chicago Bulls,103,Sacramento Kings,88,Box Score,,"17,317",
"Mon, Nov 24, 1997",Washington Wizards,87,Orlando Magic,95,Box Score,,"16,548",
"Mon, Nov 24, 1997",Portland Trail Blazers,91,Toronto Raptors,90,Box Score,,"15,051",
"Mon, Nov 24, 1997",Minnesota Timberwolves,124,Utah Jazz,133,Box Score,OT,"19,911",
"Tue, Nov 25, 1997",Detroit Pistons,85,Charlotte Hornets,90,Box Score,,"22,617",
"Tue, Nov 25, 1997",San Antonio Spurs,102,Dallas Mavericks,91,Box Score,,"11,557",
"Tue, Nov 25, 1997",New Jersey Nets,101,Golden State Warriors,87,Box Score,,"9,678",
"Tue, Nov 25, 1997",Los Angeles Lakers,86,Miami Heat,103,Box Score,,"15,200",
"Tue, Nov 25, 1997",Denver Nuggets,93,Sacramento Kings,97,Box Score,,"12,950",
"Tue, Nov 25, 1997",Chicago Bulls,90,Seattle SuperSonics,91,Box Score,,"17,072",
"Wed, Nov 26, 1997",Los Angeles Lakers,118,Boston Celtics,103,Box Score,,"18,624",
"Wed, Nov 26, 1997",Sacramento Kings,97,Los Angeles Clippers,99,Box Score,,"8,467",
"Wed, Nov 26, 1997",Vancouver Grizzlies,82,Milwaukee Bucks,101,Box Score,,"15,126",
"Wed, Nov 26, 1997",Portland Trail Blazers,96,Minnesota Timberwolves,90,Box Score,,"17,882",
"Wed, Nov 26, 1997",Miami Heat,84,Orlando Magic,60,Box Score,,"17,248",
"Wed, Nov 26, 1997",Cleveland Cavaliers,95,Philadelphia 76ers,89,Box Score,,"12,711",
"Wed, Nov 26, 1997",New Jersey Nets,99,Phoenix Suns,111,Box Score,,"19,023",
"Wed, Nov 26, 1997",Washington Wizards,98,San Antonio Spurs,94,Box Score,,"14,436",
"Wed, Nov 26, 1997",Atlanta Hawks,109,Toronto Raptors,104,Box Score,2OT,"15,639",
"Thu, Nov 27, 1997",Vancouver Grizzlies,85,Indiana Pacers,106,Box Score,,"14,391",
"Fri, Nov 28, 1997",Phoenix Suns,112,Boston Celtics,108,Box Score,OT,"18,624",
"Fri, Nov 28, 1997",Cleveland Cavaliers,97,Charlotte Hornets,91,Box Score,,"24,042",
"Fri, Nov 28, 1997",Toronto Raptors,91,Dallas Mavericks,93,Box Score,,"13,327",
"Fri, Nov 28, 1997",Minnesota Timberwolves,84,Denver Nuggets,95,Box Score,,"13,628",
"Fri, Nov 28, 1997",New York Knicks,78,Detroit Pistons,86,Box Score,,"22,076",
"Fri, Nov 28, 1997",Chicago Bulls,83,Indiana Pacers,94,Box Score,,"16,736",
"Fri, Nov 28, 1997",New Jersey Nets,104,Los Angeles Clippers,92,Box Score,,"11,030","at Anaheim, CA"
"Fri, Nov 28, 1997",Milwaukee Bucks,90,Orlando Magic,94,Box Score,,"17,070",
"Fri, Nov 28, 1997",Los Angeles Lakers,95,Philadelphia 76ers,105,Box Score,,"20,714",
"Fri, Nov 28, 1997",Houston Rockets,98,Portland Trail Blazers,89,Box Score,,"21,174",
"Fri, Nov 28, 1997",Sacramento Kings,96,Seattle SuperSonics,113,Box Score,,"17,072",
"Fri, Nov 28, 1997",Golden State Warriors,82,Utah Jazz,111,Box Score,,"19,911",
"Sat, Nov 29, 1997",Charlotte Hornets,80,Atlanta Hawks,98,Box Score,,"21,938",
"Sat, Nov 29, 1997",Boston Celtics,97,Cleveland Cavaliers,103,Box Score,,"19,349",
"Sat, Nov 29, 1997",Houston Rockets,107,Golden State Warriors,100,Box Score,,"12,578",
"Sat, Nov 29, 1997",Utah Jazz,94,Los Angeles Clippers,91,Box Score,,"14,956",
"Sat, Nov 29, 1997",Milwaukee Bucks,93,Miami Heat,87,Box Score,,"14,897",
"Sat, Nov 29, 1997",Vancouver Grizzlies,87,Minnesota Timberwolves,106,Box Score,,"17,494",
"Sat, Nov 29, 1997",Phoenix Suns,80,New York Knicks,102,Box Score,,"19,763",
"Sat, Nov 29, 1997",Dallas Mavericks,87,San Antonio Spurs,96,Box Score,,"16,270",
"Sat, Nov 29, 1997",Chicago Bulls,88,Washington Wizards,83,Box Score,,"18,756","at Landover, MD"
"Sun, Nov 30, 1997",San Antonio Spurs,96,Atlanta Hawks,108,Box Score,,"15,294",
"Sun, Nov 30, 1997",Vancouver Grizzlies,97,Detroit Pistons,95,Box Score,,"16,030",
"Sun, Nov 30, 1997",Philadelphia 76ers,89,Indiana Pacers,101,Box Score,,"13,368",
"Sun, Nov 30, 1997",Toronto Raptors,99,Los Angeles Lakers,105,Box Score,,"14,940",
"Sun, Nov 30, 1997",New Jersey Nets,87,Sacramento Kings,73,Box Score,,"12,897",
"Sun, Nov 30, 1997",Orlando Magic,81,Seattle SuperSonics,103,Box Score,,"17,072",
