"Date","Start (ET)","Visitor/Neutral","Visitor/Neutral PTS","Home/Neutral","Home/Neutral PTS","Attendance","Notes"
"2018-04-01","13:00","Philadelphia 76ers",119,"Charlotte Hornets",102,17005,""
"2018-04-01","15:30","Washington Wizards",94,"Chicago Bulls",113,20466,""
"2018-04-01","15:30","Indiana Pacers",111,"Los Angeles Clippers",104,15866,""
"2018-04-01","15:30","Houston Rockets",83,"San Antonio Spurs",100,18418,""
"2018-04-01","18:00","Orlando Magic",88,"Atlanta Hawks",94,13587,""
"2018-04-01","18:00","Detroit Pistons",108,"Brooklyn Nets",96,16097,""
"2018-04-01","18:00","Dallas Mavericks",87,"Cleveland Cavaliers",98,20562,""
"2018-04-01","18:00","Oklahoma City Thunder",109,"New Orleans Pelicans",104,18500,""
"2018-04-01","19:00","Utah Jazz",121,"Minnesota Timberwolves",97,18978,""
"2018-04-01","20:00","Milwaukee Bucks",125,"Denver Nuggets",128,19520,""
"2018-04-01","20:30","Phoenix Suns",107,"Golden State Warriors",117,19596,""
"2018-04-01","21:00","Memphis Grizzlies",98,"Portland Trail Blazers",113,19545,""
"2018-04-01","21:30","Sacramento Kings",84,"Los Angeles Lakers",83,18997,""
"2018-04-03","19:00","Toronto Raptors",106,"Cleveland Cavaliers",112,20562,""
"2018-04-03","19:00","Brooklyn Nets",95,"Philadelphia 76ers",121,20710,""
"2018-04-03","19:30","Atlanta Hawks",98,"Miami Heat",101,19600,""
"2018-04-03","19:30","Orlando Magic",97,"New York Knicks",73,19812,""
"2018-04-03","20:00","Charlotte Hornets",114,"Chicago Bulls",120,20139,""
"2018-04-03","20:00","Washington Wizards",104,"Houston Rockets",120,18055,""
"2018-04-03","20:00","Boston Celtics",102,"Milwaukee Bucks",106,16188,""
"2018-04-03","20:00","Golden State Warriors",111,"Oklahoma City Thunder",107,18203,""
"2018-04-03","20:30","Portland Trail Blazers",109,"Dallas Mavericks",115,19624,""
"2018-04-03","21:00","Indiana Pacers",104,"Denver Nuggets",107,14743,""
"2018-04-03","21:00","Los Angeles Lakers",110,"Utah Jazz",117,18306,""
"2018-04-03","22:00","Sacramento Kings",94,"Phoenix Suns",97,16826,""
"2018-04-03","22:30","San Antonio Spurs",110,"Los Angeles Clippers",113,17449,""
"2018-04-04","19:00","Philadelphia 76ers",115,"Detroit Pistons",108,18395,""
"2018-04-04","19:00","Dallas Mavericks",100,"Orlando Magic",105,18112,""
"2018-04-04","19:30","Miami Heat",115,"Atlanta Hawks",86,16696,""
"2018-04-04","20:00","Memphis Grizzlies",95,"New Orleans Pelicans",123,16521,""
"2018-04-04","20:00","Boston Celtics",78,"Toronto Raptors",96,19963,""
"2018-04-04","22:30","San Antonio Spurs",112,"Los Angeles Lakers",122,18997,""
"2018-04-05","19:00","Golden State Warriors",106,"Indiana Pacers",126,17923,""
"2018-04-05","20:00","Washington Wizards",115,"Cleveland Cavaliers",119,20562,""
"2018-04-05","20:00","Portland Trail Blazers",94,"Houston Rockets",96,18055,""
"2018-04-05","20:00","Brooklyn Nets",119,"Milwaukee Bucks",111,18378,""
"2018-04-05","21:00","Los Angeles Clippers",95,"Utah Jazz",117,18306,""
"2018-04-05","22:30","Minnesota Timberwolves",96,"Denver Nuggets",100,16415,""
"2018-04-06","19:00","Dallas Mavericks",106,"Detroit Pistons",113,18768,""
"2018-04-06","19:00","Charlotte Hornets",137,"Orlando Magic",100,17018,""
"2018-04-06","19:00","Cleveland Cavaliers",130,"Philadelphia 76ers",132,20769,""
"2018-04-06","19:00","Atlanta Hawks",103,"Washington Wizards",97,19557,""
"2018-04-06","19:30","Chicago Bulls",104,"Boston Celtics",111,18624,""
"2018-04-06","19:30","Miami Heat",98,"New York Knicks",122,19569,""
"2018-04-06","19:30","Indiana Pacers",73,"Toronto Raptors",92,19924,""
"2018-04-06","20:00","Sacramento Kings",94,"Memphis Grizzlies",93,16527,""
"2018-04-06","22:00","New Orleans Pelicans",122,"Phoenix Suns",103,18055,""
"2018-04-06","22:30","Minnesota Timberwolves",113,"Los Angeles Lakers",96,18997,""
"2018-04-07","15:30","Denver Nuggets",134,"Los Angeles Clippers",115,16166,""
"2018-04-07","19:30","Milwaukee Bucks",115,"New York Knicks",102,19812,""
"2018-04-07","20:00","Brooklyn Nets",124,"Chicago Bulls",96,21669,""
"2018-04-07","20:30","New Orleans Pelicans",126,"Golden State Warriors",120,19596,""
"2018-04-07","20:30","Oklahoma City Thunder",108,"Houston Rockets",102,18055,""
"2018-04-07","21:00","Portland Trail Blazers",105,"San Antonio Spurs",116,18610,""
"2018-04-08","13:00","Atlanta Hawks",112,"Boston Celtics",106,18624,""
"2018-04-08","13:00","Indiana Pacers",123,"Charlotte Hornets",117,16629,""
"2018-04-08","13:00","Dallas Mavericks",97,"Philadelphia 76ers",109,20846,""
"2018-04-08","15:30","Detroit Pistons",117,"Memphis Grizzlies",130,16044,""
"2018-04-08","18:00","Utah Jazz",112,"Los Angeles Lakers",97,18997,""
"2018-04-08","18:00","Orlando Magic",101,"Toronto Raptors",112,19948,""
"2018-04-08","21:00","Golden State Warriors",117,"Phoenix Suns",100,18055,""
"2018-04-09","19:00","Toronto Raptors",108,"Detroit Pistons",98,17529,""
"2018-04-09","19:30","Chicago Bulls",105,"Brooklyn Nets",114,16187,""
"2018-04-09","19:30","Oklahoma City Thunder",115,"Miami Heat",93,19600,""
"2018-04-09","19:30","Cleveland Cavaliers",123,"New York Knicks",109,19449,""
"2018-04-09","20:00","Orlando Magic",86,"Milwaukee Bucks",102,18717,""
"2018-04-09","20:00","Memphis Grizzlies",94,"Minnesota Timberwolves",113,17641,""
"2018-04-09","20:30","Sacramento Kings",85,"San Antonio Spurs",98,18418,""
"2018-04-09","21:00","Portland Trail Blazers",82,"Denver Nuggets",88,17467,""
"2018-04-09","22:30","New Orleans Pelicans",113,"Los Angeles Clippers",100,15742,""
"2018-04-10","19:00","Charlotte Hornets",119,"Indiana Pacers",93,17331,""
"2018-04-10","19:30","Philadelphia 76ers",121,"Atlanta Hawks",113,15673,""
"2018-04-10","20:00","Boston Celtics",101,"Washington Wizards",113,18887,""
"2018-04-10","20:30","Phoenix Suns",124,"Dallas Mavericks",97,20041,""
"2018-04-10","21:00","Golden State Warriors",79,"Utah Jazz",119,18306,""
"2018-04-10","22:30","Houston Rockets",105,"Los Angeles Lakers",99,18997,""
"2018-04-11","20:00","Brooklyn Nets",97,"Boston Celtics",110,18624,""
"2018-04-11","20:00","Detroit Pistons",119,"Chicago Bulls",87,21342,""
"2018-04-11","20:00","New York Knicks",110,"Cleveland Cavaliers",98,20562,""
"2018-04-11","20:00","Toronto Raptors",109,"Miami Heat",116,19600,""
"2018-04-11","20:00","Denver Nuggets",106,"Minnesota Timberwolves",112,18978,""
"2018-04-11","20:00","San Antonio Spurs",98,"New Orleans Pelicans",122,18573,""
"2018-04-11","20:00","Memphis Grizzlies",123,"Oklahoma City Thunder",137,18203,""
"2018-04-11","20:00","Washington Wizards",92,"Orlando Magic",101,17598,""
"2018-04-11","20:00","Milwaukee Bucks",95,"Philadelphia 76ers",130,20659,""
"2018-04-11","22:30","Los Angeles Lakers",115,"Los Angeles Clippers",100,19068,""
"2018-04-11","22:30","Utah Jazz",93,"Portland Trail Blazers",102,20186,""
"2018-04-11","22:30","Houston Rockets",83,"Sacramento Kings",96,17583,""
"2018-04-14","15:00","San Antonio Spurs",92,"Golden State Warriors",113,19596,""
"2018-04-14","17:30","Washington Wizards",106,"Toronto Raptors",114,19937,""
"2018-04-14","20:00","Miami Heat",103,"Philadelphia 76ers",130,20617,""
"2018-04-14","22:30","New Orleans Pelicans",97,"Portland Trail Blazers",95,19882,""
"2018-04-15","13:00","Milwaukee Bucks",107,"Boston Celtics",113,18624,""
"2018-04-15","15:30","Indiana Pacers",98,"Cleveland Cavaliers",80,20562,""
"2018-04-15","18:30","Utah Jazz",108,"Oklahoma City Thunder",116,18203,""
"2018-04-15","21:00","Minnesota Timberwolves",101,"Houston Rockets",104,18055,""
"2018-04-16","20:00","Miami Heat",113,"Philadelphia 76ers",103,20753,""
"2018-04-16","22:30","San Antonio Spurs",101,"Golden State Warriors",116,19596,""
"2018-04-17","19:00","Washington Wizards",119,"Toronto Raptors",130,20242,""
"2018-04-17","20:00","Milwaukee Bucks",106,"Boston Celtics",120,18624,""
"2018-04-17","22:30","New Orleans Pelicans",111,"Portland Trail Blazers",102,20066,""
"2018-04-18","19:00","Indiana Pacers",97,"Cleveland Cavaliers",100,20562,""
"2018-04-18","20:00","Utah Jazz",102,"Oklahoma City Thunder",95,18203,""
"2018-04-18","21:30","Minnesota Timberwolves",82,"Houston Rockets",102,18055,""
"2018-04-19","19:00","Philadelphia 76ers",128,"Miami Heat",108,19812,""
"2018-04-19","21:00","Portland Trail Blazers",102,"New Orleans Pelicans",119,18551,""
"2018-04-19","21:30","Golden State Warriors",110,"San Antonio Spurs",97,18418,""
"2018-04-20","19:00","Cleveland Cavaliers",90,"Indiana Pacers",92,17923,""
"2018-04-20","20:00","Toronto Raptors",103,"Washington Wizards",122,20356,""
"2018-04-20","21:30","Boston Celtics",92,"Milwaukee Bucks",116,18717,""
"2018-04-21","14:30","Philadelphia 76ers",106,"Miami Heat",102,19804,""
"2018-04-21","17:00","Portland Trail Blazers",123,"New Orleans Pelicans",131,18544,""
"2018-04-21","19:30","Houston Rockets",105,"Minnesota Timberwolves",121,18978,""
"2018-04-21","22:00","Oklahoma City Thunder",102,"Utah Jazz",115,18306,""
