Date,Visitor/Neutral,PTS_1,Home/Neutral,PTS_2,_1,_2,Attend.,Notes
"Fri, Nov 3, 1995",Indiana Pacers,111,Atlanta Hawks,106,Box Score,,"15,188",
"Fri, Nov 3, 1995",Milwaukee Bucks,101,Boston Celtics,100,Box Score,,"16,321",
"Fri, Nov 3, 1995",Charlotte Hornets,91,Chicago Bulls,105,Box Score,,"23,862",
"Fri, Nov 3, 1995",New York Knicks,106,Detroit Pistons,100,Box Score,,"21,454",
"Fri, Nov 3, 1995",Golden State Warriors,92,Houston Rockets,110,Box Score,,"16,611",
"Fri, Nov 3, 1995",Phoenix Suns,106,Los Angeles Clippers,112,Box Score,,"13,281",
"Fri, Nov 3, 1995",Denver Nuggets,96,Los Angeles Lakers,98,Box Score,,"16,345",
"Fri, Nov 3, 1995",Cleveland Cavaliers,88,Orlando Magic,99,Box Score,,"17,248",
"Fri, Nov 3, 1995",Washington Bullets,103,Philadelphia 76ers,105,Box Score,,"18,168",
"Fri, Nov 3, 1995",Vancouver Grizzlies,92,Portland Trail Blazers,80,Box Score,,"19,115",
"Fri, Nov 3, 1995",Minnesota Timberwolves,86,Sacramento Kings,95,Box Score,,"17,319",
"Fri, Nov 3, 1995",Dallas Mavericks,103,San Antonio Spurs,97,Box Score,,"28,821",
"Fri, Nov 3, 1995",New Jersey Nets,79,Toronto Raptors,94,Box Score,,"33,306",
"Fri, Nov 3, 1995",Seattle SuperSonics,94,Utah Jazz,112,Box Score,,"19,911",
"Sat, Nov 4, 1995",Orlando Magic,91,Atlanta Hawks,124,Box Score,,"13,538",
"Sat, Nov 4, 1995",Philadelphia 76ers,108,Charlotte Hornets,119,Box Score,,"24,042",
"Sat, Nov 4, 1995",Boston Celtics,85,Chicago Bulls,107,Box Score,,"23,608",
"Sat, Nov 4, 1995",Golden State Warriors,84,Dallas Mavericks,99,Box Score,,"17,502",
"Sat, Nov 4, 1995",San Antonio Spurs,116,Denver Nuggets,108,Box Score,,"17,171",
"Sat, Nov 4, 1995",Toronto Raptors,89,Indiana Pacers,97,Box Score,,"16,640",
"Sat, Nov 4, 1995",Cleveland Cavaliers,71,Miami Heat,85,Box Score,,"15,200",
"Sat, Nov 4, 1995",New York Knicks,84,Milwaukee Bucks,71,Box Score,,"18,633",
"Sat, Nov 4, 1995",Los Angeles Lakers,89,Seattle SuperSonics,103,Box Score,,"17,102",
"Sat, Nov 4, 1995",Detroit Pistons,89,Washington Bullets,100,Box Score,,"18,756",
"Sun, Nov 5, 1995",Houston Rockets,106,Phoenix Suns,104,Box Score,,"19,023",
"Sun, Nov 5, 1995",Utah Jazz,105,Portland Trail Blazers,109,Box Score,,"21,398",
"Sun, Nov 5, 1995",Los Angeles Clippers,82,Sacramento Kings,99,Box Score,,"17,317",
"Sun, Nov 5, 1995",Minnesota Timberwolves,98,Vancouver Grizzlies,100,Box Score,OT,"19,193",
"Mon, Nov 6, 1995",Washington Bullets,95,Orlando Magic,105,Box Score,,"17,248",
"Mon, Nov 6, 1995",Atlanta Hawks,96,Utah Jazz,105,Box Score,,"18,742",
"Tue, Nov 7, 1995",Detroit Pistons,96,Charlotte Hornets,108,Box Score,,"24,042",
"Tue, Nov 7, 1995",Toronto Raptors,108,Chicago Bulls,117,Box Score,,"23,102",
"Tue, Nov 7, 1995",Indiana Pacers,104,Cleveland Cavaliers,101,Box Score,,"17,218",
"Tue, Nov 7, 1995",Vancouver Grizzlies,88,Dallas Mavericks,99,Box Score,,"15,325",
"Tue, Nov 7, 1995",Denver Nuggets,93,Golden State Warriors,98,Box Score,,"15,025",
"Tue, Nov 7, 1995",Milwaukee Bucks,89,Houston Rockets,106,Box Score,,"16,285",
"Tue, Nov 7, 1995",Los Angeles Lakers,92,Minnesota Timberwolves,93,Box Score,,"14,756",
"Tue, Nov 7, 1995",Portland Trail Blazers,84,New Jersey Nets,104,Box Score,,"16,152",
"Tue, Nov 7, 1995",Phoenix Suns,102,New York Knicks,94,Box Score,,"19,763",
"Tue, Nov 7, 1995",Sacramento Kings,109,Philadelphia 76ers,106,Box Score,,"8,064",
"Tue, Nov 7, 1995",Los Angeles Clippers,108,Seattle SuperSonics,127,Box Score,,"17,102",
"Wed, Nov 8, 1995",Phoenix Suns,109,Boston Celtics,113,Box Score,,"17,848",
"Wed, Nov 8, 1995",Seattle SuperSonics,122,Denver Nuggets,117,Box Score,,"17,171",
"Wed, Nov 8, 1995",Portland Trail Blazers,100,Detroit Pistons,107,Box Score,OT,"14,369",
"Wed, Nov 8, 1995",Atlanta Hawks,100,Los Angeles Clippers,92,Box Score,,"6,789",
"Wed, Nov 8, 1995",Houston Rockets,82,Miami Heat,89,Box Score,,"14,731",
"Wed, Nov 8, 1995",New Jersey Nets,122,Orlando Magic,130,Box Score,3OT,"17,248",
"Wed, Nov 8, 1995",Vancouver Grizzlies,62,San Antonio Spurs,111,Box Score,,"12,355",
"Wed, Nov 8, 1995",Sacramento Kings,109,Toronto Raptors,90,Box Score,,"16,793",
"Wed, Nov 8, 1995",Los Angeles Lakers,98,Utah Jazz,108,Box Score,,"19,911",
"Wed, Nov 8, 1995",Charlotte Hornets,96,Washington Bullets,110,Box Score,,"12,911",
"Thu, Nov 9, 1995",Chicago Bulls,106,Cleveland Cavaliers,88,Box Score,,"20,562",
"Thu, Nov 9, 1995",Milwaukee Bucks,94,Dallas Mavericks,104,Box Score,,"15,095",
"Thu, Nov 9, 1995",Atlanta Hawks,125,Golden State Warriors,121,Box Score,,"15,025",
"Thu, Nov 9, 1995",Indiana Pacers,95,New York Knicks,103,Box Score,,"19,763",
"Fri, Nov 10, 1995",Orlando Magic,110,Boston Celtics,94,Box Score,,"18,624",
"Fri, Nov 10, 1995",Cleveland Cavaliers,80,Detroit Pistons,100,Box Score,,"16,489",
"Fri, Nov 10, 1995",Sacramento Kings,119,Indiana Pacers,95,Box Score,,"15,947",
"Fri, Nov 10, 1995",Seattle SuperSonics,97,Los Angeles Lakers,100,Box Score,,"15,542",
"Fri, Nov 10, 1995",New Jersey Nets,80,Miami Heat,106,Box Score,,"14,289",
"Fri, Nov 10, 1995",Portland Trail Blazers,108,Minnesota Timberwolves,102,Box Score,,"11,972",
"Fri, Nov 10, 1995",Charlotte Hornets,90,Philadelphia 76ers,104,Box Score,,"14,082",
"Fri, Nov 10, 1995",Milwaukee Bucks,90,San Antonio Spurs,104,Box Score,,"14,353",
"Fri, Nov 10, 1995",Phoenix Suns,112,Toronto Raptors,108,Box Score,,"25,207",
"Fri, Nov 10, 1995",Denver Nuggets,86,Utah Jazz,109,Box Score,,"19,911",
"Fri, Nov 10, 1995",Los Angeles Clippers,98,Vancouver Grizzlies,91,Box Score,,"17,345",
"Fri, Nov 10, 1995",New York Knicks,110,Washington Bullets,109,Box Score,,"18,756",
"Sat, Nov 11, 1995",Toronto Raptors,117,Charlotte Hornets,123,Box Score,OT,"24,042",
"Sat, Nov 11, 1995",Portland Trail Blazers,106,Chicago Bulls,110,Box Score,,"23,384",
"Sat, Nov 11, 1995",Atlanta Hawks,113,Dallas Mavericks,100,Box Score,,"17,502",
"Sat, Nov 11, 1995",Los Angeles Lakers,105,Golden State Warriors,123,Box Score,,"15,025",
"Sat, Nov 11, 1995",Minnesota Timberwolves,97,Houston Rockets,119,Box Score,,"16,285",
"Sat, Nov 11, 1995",Sacramento Kings,84,New Jersey Nets,86,Box Score,,"11,205",
"Sat, Nov 11, 1995",Miami Heat,93,Orlando Magic,94,Box Score,,"17,248",
"Sat, Nov 11, 1995",Vancouver Grizzlies,81,Seattle SuperSonics,117,Box Score,,"17,102",
"Sun, Nov 12, 1995",San Antonio Spurs,84,Cleveland Cavaliers,81,Box Score,,"15,137",
"Sun, Nov 12, 1995",Denver Nuggets,103,Los Angeles Clippers,108,Box Score,,"7,360",
"Sun, Nov 12, 1995",Utah Jazz,110,New York Knicks,120,Box Score,,"19,763",
"Sun, Nov 12, 1995",Golden State Warriors,109,Phoenix Suns,112,Box Score,,"19,023",
"Mon, Nov 13, 1995",Utah Jazz,103,Toronto Raptors,100,Box Score,,"18,351",
"Mon, Nov 13, 1995",Dallas Mavericks,94,Vancouver Grizzlies,89,Box Score,,"17,171",
"Tue, Nov 14, 1995",Charlotte Hornets,104,Atlanta Hawks,111,Box Score,,"9,998",
"Tue, Nov 14, 1995",Los Angeles Clippers,118,Golden State Warriors,106,Box Score,,"15,025",
"Tue, Nov 14, 1995",San Antonio Spurs,84,Milwaukee Bucks,98,Box Score,,"13,464",
"Tue, Nov 14, 1995",Chicago Bulls,88,Orlando Magic,94,Box Score,,"17,248",
"Tue, Nov 14, 1995",Seattle SuperSonics,115,Philadelphia 76ers,107,Box Score,,"10,098",
"Tue, Nov 14, 1995",New York Knicks,99,Portland Trail Blazers,105,Box Score,,"21,401",
"Tue, Nov 14, 1995",Los Angeles Lakers,106,Sacramento Kings,100,Box Score,,"17,317",
"Wed, Nov 15, 1995",Utah Jazz,102,Boston Celtics,90,Box Score,,"17,607",
"Wed, Nov 15, 1995",Cleveland Cavaliers,94,Chicago Bulls,113,Box Score,,"23,257",
