"Date","Start (ET)","Visitor/Neutral","Visitor/Neutral PTS","Home/Neutral","Home/Neutral PTS","Attendance","Notes"
"1996-04-02","","Boston Celtics",89,"Atlanta Hawks",109,12303,""
"1996-04-02","","Los Angeles Lakers",97,"Charlotte Hornets",102,24042,""
"1996-04-02","","Sacramento Kings",104,"Dallas Mavericks",97,15194,""
"1996-04-02","","Minnesota Timberwolves",78,"Denver Nuggets",86,15042,""
"1996-04-02","","Houston Rockets",112,"Golden State Warriors",106,15025,""
"1996-04-02","","New York Knicks",90,"Indiana Pacers",86,16726,""
"1996-04-02","","Chicago Bulls",110,"Miami Heat",92,15200,""
"1996-04-02","","Detroit Pistons",98,"Milwaukee Bucks",105,16112,""
"1996-04-02","","San Antonio Spurs",104,"Phoenix Suns",111,19023,""
"1996-04-02","","Vancouver Grizzlies",85,"Portland Trail Blazers",101,19868,""
"1996-04-02","","Los Angeles Clippers",103,"Toronto Raptors",104,21135,""
"1996-04-02","","Seattle SuperSonics",100,"Utah Jazz",91,19911,""
"1996-04-03","","Los Angeles Lakers",89,"Cleveland Cavaliers",105,20562,""
"1996-04-03","","Charlotte Hornets",83,"Detroit Pistons",98,17459,""
"1996-04-03","","Los Angeles Clippers",94,"New Jersey Nets",100,10441,""
"1996-04-03","","Orlando Magic",98,"New York Knicks",85,19763,""
"1996-04-03","","Indiana Pacers",102,"Philadelphia 76ers",87,8564,""
"1996-04-03","","Sacramento Kings",96,"San Antonio Spurs",117,13910,""
"1996-04-03","","Houston Rockets",103,"Seattle SuperSonics",118,17072,""
"1996-04-03","","Minnesota Timberwolves",103,"Vancouver Grizzlies",105,16216,""
"1996-04-04","","Washington Bullets",113,"Atlanta Hawks",110,10322,""
"1996-04-04","","Miami Heat",92,"Chicago Bulls",100,23702,""
"1996-04-04","","Denver Nuggets",90,"Golden State Warriors",98,15025,""
"1996-04-04","","Boston Celtics",100,"Orlando Magic",98,17248,""
"1996-04-04","","Utah Jazz",100,"Phoenix Suns",107,19023,""
"1996-04-04","","Cleveland Cavaliers",98,"Toronto Raptors",77,21173,""
"1996-04-05","","Chicago Bulls",126,"Charlotte Hornets",92,24042,""
"1996-04-05","","Portland Trail Blazers",97,"Denver Nuggets",91,16145,""
"1996-04-05","","Vancouver Grizzlies",94,"Los Angeles Lakers",104,17505,""
"1996-04-05","","New York Knicks",86,"Milwaukee Bucks",79,15377,""
"1996-04-05","","Atlanta Hawks",82,"New Jersey Nets",70,10308,""
"1996-04-05","","Detroit Pistons",108,"Philadelphia 76ers",87,12317,""
"1996-04-05","","Houston Rockets",91,"Sacramento Kings",96,17317,""
"1996-04-05","","Washington Bullets",104,"San Antonio Spurs",84,19452,""
"1996-04-05","","Phoenix Suns",121,"Seattle SuperSonics",130,17072,""
"1996-04-05","","Minnesota Timberwolves",103,"Utah Jazz",99,19911,""
"1996-04-06","","Philadelphia 76ers",100,"Atlanta Hawks",99,14918,""
"1996-04-06","","Charlotte Hornets",93,"Cleveland Cavaliers",89,20562,""
"1996-04-06","","Los Angeles Clippers",96,"Dallas Mavericks",101,16955,""
"1996-04-06","","Minnesota Timberwolves",106,"Golden State Warriors",111,15025,""
"1996-04-06","","Miami Heat",95,"Indiana Pacers",99,16732,""
"1996-04-06","","Milwaukee Bucks",109,"New Jersey Nets",88,12780,""
"1996-04-06","","Seattle SuperSonics",92,"Portland Trail Blazers",95,21401,""
"1996-04-06","","New York Knicks",139,"Toronto Raptors",106,23168,""
"1996-04-07","","Detroit Pistons",97,"Boston Celtics",98,18624,""
"1996-04-07","","Houston Rockets",105,"Denver Nuggets",111,15832,""
"1996-04-07","","San Antonio Spurs",97,"Los Angeles Lakers",107,17130,""
"1996-04-07","","Chicago Bulls",90,"Orlando Magic",86,17248,""
"1996-04-07","","Utah Jazz",107,"Sacramento Kings",92,17317,""
"1996-04-07","","Phoenix Suns",112,"Vancouver Grizzlies",92,19193,""
"1996-04-08","","Charlotte Hornets",98,"Chicago Bulls",97,23590,""
"1996-04-08","","Dallas Mavericks",104,"Golden State Warriors",102,15025,""
"1996-04-08","","Atlanta Hawks",95,"Indiana Pacers",97,16753,""
"1996-04-08","","Portland Trail Blazers",89,"Los Angeles Clippers",102,8661,""
"1996-04-08","","Toronto Raptors",101,"Minnesota Timberwolves",115,13011,""
"1996-04-08","","Seattle SuperSonics",108,"New York Knicks",98,19763,""
"1996-04-08","","New Jersey Nets",79,"Philadelphia 76ers",82,9611,""
"1996-04-08","","San Antonio Spurs",92,"Utah Jazz",91,19911,""
"1996-04-08","","Miami Heat",99,"Washington Bullets",111,18756,""
"1996-04-09","","Los Angeles Lakers",91,"Denver Nuggets",98,17171,""
"1996-04-09","","Vancouver Grizzlies",84,"Houston Rockets",90,16285,""
"1996-04-09","","Toronto Raptors",102,"Milwaukee Bucks",96,15935,""
"1996-04-09","","Detroit Pistons",111,"New Jersey Nets",94,17205,""
"1996-04-09","","Boston Celtics",93,"New York Knicks",97,19763,""
"1996-04-09","","Portland Trail Blazers",98,"Phoenix Suns",91,19023,""
"1996-04-09","","Dallas Mavericks",86,"Sacramento Kings",95,17317,""
"1996-04-10","","Washington Bullets",122,"Boston Celtics",108,18102,""
"1996-04-10","","Miami Heat",116,"Charlotte Hornets",95,24042,""
"1996-04-10","","Philadelphia 76ers",76,"Detroit Pistons",92,15650,""
"1996-04-10","","Los Angeles Lakers",111,"Minnesota Timberwolves",90,19006,""
"1996-04-10","","Cleveland Cavaliers",104,"Orlando Magic",116,17248,""
"1996-04-10","","Vancouver Grizzlies",82,"San Antonio Spurs",105,17269,""
"1996-04-10","","Sacramento Kings",89,"Seattle SuperSonics",108,17072,""
"1996-04-10","","Phoenix Suns",79,"Utah Jazz",103,19911,""
"1996-04-11","","Denver Nuggets",109,"Houston Rockets",113,16285,""
"1996-04-11","","Golden State Warriors",111,"Los Angeles Clippers",101,13247,"at Anaheim, CA"
"1996-04-11","","Milwaukee Bucks",105,"Miami Heat",115,15090,""
"1996-04-11","","Chicago Bulls",113,"New Jersey Nets",100,20049,""
"1996-04-11","","Cleveland Cavaliers",101,"New York Knicks",97,19763,""
"1996-04-11","","Dallas Mavericks",99,"Portland Trail Blazers",114,20436,""
"1996-04-12","","Milwaukee Bucks",97,"Atlanta Hawks",104,16129,""
"1996-04-12","","Toronto Raptors",108,"Boston Celtics",136,17930,""
"1996-04-12","","Philadelphia 76ers",82,"Chicago Bulls",112,23633,""
"1996-04-12","","Golden State Warriors",81,"Los Angeles Lakers",94,17505,""
"1996-04-12","","Indiana Pacers",111,"Orlando Magic",101,17248,""
"1996-04-12","","Sacramento Kings",98,"Vancouver Grizzlies",99,18619,""
"1996-04-12","","Minnesota Timberwolves",106,"Washington Bullets",116,18756,""
"1996-04-13","","Dallas Mavericks",111,"Houston Rockets",112,16285,""
"1996-04-13","","Detroit Pistons",86,"Indiana Pacers",91,16760,""
"1996-04-13","","Utah Jazz",81,"Los Angeles Clippers",91,16021,""
"1996-04-13","","New York Knicks",95,"Miami Heat",103,15200,""
"1996-04-13","","Seattle SuperSonics",81,"San Antonio Spurs",84,31710,""
"1996-04-14","","Chicago Bulls",98,"Cleveland Cavaliers",72,20562,""
"1996-04-14","","Boston Celtics",96,"Detroit Pistons",105,16522,""
"1996-04-14","","Utah Jazz",82,"Golden State Warriors",93,15025,""
"1996-04-14","","Phoenix Suns",114,"Los Angeles Lakers",118,17505,""
"1996-04-14","","Orlando Magic",101,"Milwaukee Bucks",114,17502,""
"1996-04-14","","Denver Nuggets",98,"Minnesota Timberwolves",91,18717,""
"1996-04-14","","Atlanta Hawks",99,"New Jersey Nets",90,17762,""
"1996-04-14","","Charlotte Hornets",94,"Philadelphia 76ers",78,10079,""
"1996-04-14","","Los Angeles Clippers",96,"Sacramento Kings",101,17317,""
"1996-04-14","","Portland Trail Blazers",81,"Vancouver Grizzlies",79,16522,""
"1996-04-14","","Toronto Raptors",97,"Washington Bullets",110,18756,""
"1996-04-15","","Sacramento Kings",90,"Denver Nuggets",86,15415,""
"1996-04-15","","Seattle SuperSonics",112,"Houston Rockets",106,16285,""
"1996-04-15","","Charlotte Hornets",87,"Indiana Pacers",90,16538,""
"1996-04-15","","New Jersey Nets",90,"Miami Heat",110,14815,""
"1996-04-15","","Toronto Raptors",79,"New York Knicks",125,19763,""
"1996-04-15","","San Antonio Spurs",97,"Portland Trail Blazers",121,21401,""
"1996-04-16","","Cleveland Cavaliers",80,"Atlanta Hawks",77,11615,""
"1996-04-16","","Los Angeles Lakers",113,"Dallas Mavericks",95,17502,""
"1996-04-16","","Chicago Bulls",86,"Milwaukee Bucks",80,18633,""
"1996-04-16","","Washington Bullets",95,"Orlando Magic",113,17248,""
"1996-04-16","","Houston Rockets",100,"Phoenix Suns",111,19023,""
"1996-04-16","","Los Angeles Clippers",85,"Utah Jazz",108,19535,""
"1996-04-16","","San Antonio Spurs",95,"Vancouver Grizzlies",86,16127,""
"1996-04-17","","Indiana Pacers",93,"Detroit Pistons",102,17380,""
"1996-04-17","","Golden State Warriors",109,"Minnesota Timberwolves",103,12719,""
"1996-04-17","","Toronto Raptors",95,"New Jersey Nets",107,14688,""
"1996-04-17","","Miami Heat",86,"Philadelphia 76ers",90,12613,""
"1996-04-17","","Phoenix Suns",102,"Sacramento Kings",103,17317,""
"1996-04-17","","Portland Trail Blazers",90,"Seattle SuperSonics",96,17072,""
"1996-04-17","","Boston Celtics",121,"Washington Bullets",106,18756,""
"1996-04-18","","Milwaukee Bucks",111,"Charlotte Hornets",103,24042,""
"1996-04-18","","Detroit Pistons",79,"Chicago Bulls",110,23614,""
"1996-04-18","","New York Knicks",77,"Cleveland Cavaliers",92,20562,""
"1996-04-18","","Denver Nuggets",98,"Dallas Mavericks",132,15907,""
"1996-04-18","","Los Angeles Clippers",107,"Houston Rockets",115,16285,""
"1996-04-18","","Atlanta Hawks",104,"Orlando Magic",119,17248,""
"1996-04-18","","Los Angeles Lakers",100,"San Antonio Spurs",103,22184,""
"1996-04-18","","Utah Jazz",94,"Vancouver Grizzlies",79,18407,""
"1996-04-19","","Vancouver Grizzlies",92,"Denver Nuggets",78,15119,""
"1996-04-19","","Portland Trail Blazers",95,"Golden State Warriors",87,15025,""
"1996-04-19","","Miami Heat",106,"Milwaukee Bucks",100,18633,""
"1996-04-19","","Boston Celtics",112,"New Jersey Nets",106,17776,""
"1996-04-19","","Charlotte Hornets",115,"New York Knicks",108,19763,""
"1996-04-19","","Orlando Magic",112,"Philadelphia 76ers",92,18168,""
"1996-04-19","","Dallas Mavericks",103,"Phoenix Suns",123,19023,""
"1996-04-19","","Minnesota Timberwolves",86,"Seattle SuperSonics",94,17072,""
"1996-04-19","","Washington Bullets",103,"Toronto Raptors",107,24454,""
"1996-04-20","","New Jersey Nets",99,"Atlanta Hawks",121,11238,""
"1996-04-20","","Indiana Pacers",100,"Chicago Bulls",99,23784,""
"1996-04-20","","Detroit Pistons",73,"Cleveland Cavaliers",75,20562,""
"1996-04-20","","Minnesota Timberwolves",82,"Los Angeles Lakers",106,17505,""
"1996-04-20","","Sacramento Kings",92,"Utah Jazz",104,19911,""
"1996-04-21","","New York Knicks",122,"Boston Celtics",111,18624,""
"1996-04-21","","Orlando Magic",103,"Charlotte Hornets",100,24042,""
"1996-04-21","","Seattle SuperSonics",88,"Denver Nuggets",99,15921,""
"1996-04-21","","Milwaukee Bucks",92,"Detroit Pistons",108,18689,""
"1996-04-21","","Phoenix Suns",110,"Houston Rockets",118,16285,""
"1996-04-21","","Cleveland Cavaliers",88,"Indiana Pacers",89,16708,""
"1996-04-21","","Vancouver Grizzlies",108,"Los Angeles Clippers",101,13298,""
"1996-04-21","","Atlanta Hawks",104,"Miami Heat",92,15200,""
"1996-04-21","","Los Angeles Lakers",92,"Portland Trail Blazers",88,21401,""
"1996-04-21","","Golden State Warriors",100,"Sacramento Kings",107,17317,""
"1996-04-21","","Dallas Mavericks",103,"San Antonio Spurs",98,18174,""
"1996-04-21","","Philadelphia 76ers",109,"Toronto Raptors",105,27118,""
"1996-04-21","","Chicago Bulls",103,"Washington Bullets",93,18756,""
"1996-04-25","","New York Knicks",106,"Cleveland Cavaliers",83,16419,""
"1996-04-25","","Atlanta Hawks",92,"Indiana Pacers",80,16438,""
"1996-04-25","","Houston Rockets",87,"Los Angeles Lakers",83,17505,""
"1996-04-25","","Portland Trail Blazers",102,"Utah Jazz",110,19614,""
"1996-04-26","","Miami Heat",85,"Chicago Bulls",102,24104,""
"1996-04-26","","Detroit Pistons",92,"Orlando Magic",112,17248,""
"1996-04-26","","Phoenix Suns",98,"San Antonio Spurs",120,16545,""
"1996-04-26","","Sacramento Kings",85,"Seattle SuperSonics",97,17072,""
"1996-04-27","","New York Knicks",84,"Cleveland Cavaliers",80,17232,""
"1996-04-27","","Atlanta Hawks",94,"Indiana Pacers",102,16709,""
"1996-04-27","","Houston Rockets",94,"Los Angeles Lakers",104,17505,""
"1996-04-27","","Portland Trail Blazers",90,"Utah Jazz",105,19911,""
"1996-04-28","","Miami Heat",75,"Chicago Bulls",106,24202,""
"1996-04-28","","Detroit Pistons",77,"Orlando Magic",92,17248,""
"1996-04-28","","Phoenix Suns",105,"San Antonio Spurs",110,19507,""
"1996-04-28","","Sacramento Kings",90,"Seattle SuperSonics",81,17072,""
"1996-04-29","","Indiana Pacers",83,"Atlanta Hawks",90,11290,""
"1996-04-29","","Utah Jazz",91,"Portland Trail Blazers",94,21401,""
"1996-04-30","","Orlando Magic",101,"Detroit Pistons",98,20386,""
"1996-04-30","","Los Angeles Lakers",98,"Houston Rockets",104,16285,""
"1996-04-30","","Seattle SuperSonics",96,"Sacramento Kings",89,17317,""
