"Date","Start (ET)","Visitor/Neutral","Visitor/Neutral PTS","Home/Neutral","Home/Neutral PTS","Attendance","Notes"
"2004-04-01","19:00","Portland Trail Blazers",88,"Philadelphia 76ers",82,17738,""
"2004-04-01","20:00","Sacramento Kings",117,"Dallas Mavericks",127,20533,""
"2004-04-01","22:30","Houston Rockets",85,"Los Angeles Lakers",93,18997,""
"2004-04-02","19:00","Atlanta Hawks",95,"Orlando Magic",87,13760,""
"2004-04-02","19:30","Golden State Warriors",106,"Boston Celtics",111,17960,""
"2004-04-02","19:30","Toronto Raptors",64,"Indiana Pacers",84,17775,""
"2004-04-02","20:00","Miami Heat",84,"Detroit Pistons",92,22076,""
"2004-04-02","20:00","Phoenix Suns",99,"Memphis Grizzlies",109,19351,""
"2004-04-02","20:00","Washington Wizards",73,"Minnesota Timberwolves",91,19159,""
"2004-04-02","20:00","New York Knicks",83,"New Jersey Nets",108,19968,""
"2004-04-02","20:30","Los Angeles Clippers",110,"Chicago Bulls",114,19443,""
"2004-04-02","20:30","Cleveland Cavaliers",89,"Milwaukee Bucks",107,17813,""
"2004-04-02","21:00","Houston Rockets",100,"Denver Nuggets",110,19680,""
"2004-04-02","21:00","San Antonio Spurs",94,"Utah Jazz",81,19911,""
"2004-04-02","22:30","Los Angeles Lakers",97,"Seattle SuperSonics",86,17072,""
"2004-04-03","19:00","New York Knicks",86,"Philadelphia 76ers",75,20686,""
"2004-04-03","19:30","Golden State Warriors",103,"Cleveland Cavaliers",100,20562,""
"2004-04-03","20:30","Miami Heat",97,"Chicago Bulls",83,17764,""
"2004-04-03","20:30","Phoenix Suns",103,"Dallas Mavericks",124,20348,""
"2004-04-03","22:00","New Orleans Hornets",94,"Portland Trail Blazers",81,18603,""
"2004-04-04","13:00","Indiana Pacers",61,"Detroit Pistons",79,22076,""
"2004-04-04","13:00","Sacramento Kings",99,"Houston Rockets",94,18148,""
"2004-04-04","13:00","Milwaukee Bucks",90,"Toronto Raptors",83,17276,""
"2004-04-04","14:00","Boston Celtics",102,"Washington Wizards",112,18406,""
"2004-04-04","15:30","San Antonio Spurs",95,"Los Angeles Lakers",89,18997,""
"2004-04-04","15:30","Memphis Grizzlies",82,"Minnesota Timberwolves",90,19068,""
"2004-04-04","20:00","Atlanta Hawks",89,"New Jersey Nets",106,16134,""
"2004-04-04","21:00","New Orleans Hornets",88,"Seattle SuperSonics",96,17072,""
"2004-04-04","21:30","Utah Jazz",97,"Los Angeles Clippers",92,17453,""
"2004-04-05","21:00","Memphis Grizzlies",81,"Utah Jazz",92,19911,""
"2004-04-06","19:30","Philadelphia 76ers",103,"Atlanta Hawks",100,14361,""
"2004-04-06","19:30","Toronto Raptors",87,"Cleveland Cavaliers",86,20071,""
"2004-04-06","19:30","Orlando Magic",86,"Detroit Pistons",102,22076,""
"2004-04-06","19:30","Milwaukee Bucks",103,"New Jersey Nets",98,13967,""
