"Date","Start (ET)","Visitor/Neutral","Visitor/Neutral PTS","Home/Neutral","Home/Neutral PTS","Attendance","Notes"
"2010-04-01","20:00","Orlando Magic",97,"Dallas Mavericks",82,19965,""
"2010-04-01","22:30","Portland Trail Blazers",92,"Denver Nuggets",109,19155,""
"2010-04-02","19:00","Milwaukee Bucks",86,"Charlotte Bobcats",87,18118,""
"2010-04-02","19:00","Miami Heat",105,"Indiana Pacers",96,16787,""
"2010-04-02","19:00","Chicago Bulls",95,"Washington Wizards",87,18002,""
"2010-04-02","19:30","Houston Rockets",119,"Boston Celtics",114,18624,""
"2010-04-02","20:00","Atlanta Hawks",88,"Cleveland Cavaliers",93,20562,""
"2010-04-02","20:00","Phoenix Suns",109,"Detroit Pistons",94,22076,""
"2010-04-02","20:00","New Orleans Hornets",96,"Memphis Grizzlies",107,15043,""
"2010-04-02","20:30","Orlando Magic",100,"San Antonio Spurs",112,18581,""
"2010-04-02","22:30","New York Knicks",117,"Golden State Warriors",128,19230,""
"2010-04-02","22:30","Utah Jazz",92,"Los Angeles Lakers",106,18997,""
"2010-04-03","13:00","Toronto Raptors",128,"Philadelphia 76ers",123,13430,""
"2010-04-03","19:00","Detroit Pistons",85,"Atlanta Hawks",91,18729,""
"2010-04-03","19:30","New Orleans Hornets",87,"New Jersey Nets",115,14698,""
"2010-04-03","20:00","Charlotte Bobcats",88,"Chicago Bulls",96,20996,""
"2010-04-03","20:00","Miami Heat",97,"Minnesota Timberwolves",84,17601,""
"2010-04-03","20:30","Oklahoma City Thunder",121,"Dallas Mavericks",116,20329,""
"2010-04-03","20:30","Phoenix Suns",98,"Milwaukee Bucks",107,16436,""
"2010-04-03","21:00","Los Angeles Clippers",90,"Denver Nuggets",98,19155,""
"2010-04-03","22:00","Portland Trail Blazers",98,"Sacramento Kings",87,12875,""
"2010-04-04","13:00","Cleveland Cavaliers",113,"Boston Celtics",117,18624,""
"2010-04-04","15:30","San Antonio Spurs",100,"Los Angeles Lakers",81,18997,""
"2010-04-04","18:00","Houston Rockets",102,"Indiana Pacers",133,14201,""
"2010-04-04","18:00","Memphis Grizzlies",92,"Orlando Magic",107,17461,""
"2010-04-04","18:00","Golden State Warriors",113,"Toronto Raptors",112,17509,""
"2010-04-04","18:00","New Jersey Nets",99,"Washington Wizards",109,10112,""
"2010-04-04","19:00","Minnesota Timberwolves",108,"Oklahoma City Thunder",116,18203,""
"2010-04-04","21:30","New York Knicks",113,"Los Angeles Clippers",107,16083,""
"2010-04-06","19:00","Atlanta Hawks",100,"Charlotte Bobcats",109,18610,""
"2010-04-06","19:00","Toronto Raptors",101,"Cleveland Cavaliers",113,20562,""
"2010-04-06","19:00","Detroit Pistons",124,"Philadelphia 76ers",103,13832,""
"2010-04-06","19:00","Golden State Warriors",94,"Washington Wizards",112,14721,""
